Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Octahedral Factor
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
