Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Octahedral Factor,Tolerance Factor
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.7821466844961403
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.7821466844961403
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8225527862782287
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8225527862782287
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8225527862782287
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8225527862782287
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8225527862782287
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8225527862782287
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8225527862782287
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8225527862782287
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8658450381876092
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8658450381876092
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8658450381876092
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8658450381876092
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8658450381876092
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8658450381876092
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8658450381876092
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947,0.8658450381876092
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.5864496716983667
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.5864496716983667
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.5864496716983667
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.5864496716983667
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.5864496716983667
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.5864496716983667
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.5864496716983667
76.0,76.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.5864496716983667
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.6594051332493597
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.6594051332493597
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.6594051332493597
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.6594051332493597
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.6594051332493597
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.6594051332493597
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.6594051332493597
102.0,102.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.6594051332493597
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7604203877045808
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7604203877045808
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7604203877045808
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7604203877045808
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7604203877045808
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7604203877045808
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7604203877045808
138.0,138.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7604203877045808
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7997040977705001
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7997040977705001
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7997040977705001
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7997040977705001
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7997040977705001
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7997040977705001
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7997040977705001
152.0,152.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.7997040977705001
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.8417937871268422
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.8417937871268422
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.8417937871268422
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.8417937871268422
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.8417937871268422
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.8417937871268422
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.8417937871268422
167.0,167.0,119,133.0,133.0,133.0,133.0,0.8947368421052632,0.8417937871268422
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7154584360824516
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7154584360824516
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7154584360824516
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7154584360824516
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7154584360824516
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7154584360824516
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7154584360824516
76.0,76.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7154584360824516
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7878394451802871
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7878394451802871
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7878394451802871
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7878394451802871
