Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,ion
Li,Li,Ge,F,F,F,Cl,Al
Li,Li,Ge,F,F,F,Cl,Ca
Li,Li,Ge,F,F,F,Cl,Mg
Li,Li,Ge,F,F,F,Cl,F
Na,Na,Ge,F,F,F,Cl,Li
Na,Na,Ge,F,F,F,Cl,Zn
Na,Na,Ge,F,F,F,Cl,K
Na,Na,Ge,F,F,F,Cl,Na
Na,Na,Ge,F,F,F,Cl,Al
Na,Na,Ge,F,F,F,Cl,Ca
Na,Na,Ge,F,F,F,Cl,Mg
Na,Na,Ge,F,F,F,Cl,F
Li,Li,Sn,Cl,Cl,Cl,Br,Li
Li,Li,Sn,Cl,Cl,Cl,Br,Zn
Li,Li,Sn,Cl,Cl,Cl,Br,K
Li,Li,Sn,Cl,Cl,Cl,Br,Na
Li,Li,Sn,Cl,Cl,Cl,Br,Al
Li,Li,Sn,Cl,Cl,Cl,Br,Ca
Li,Li,Sn,Cl,Cl,Cl,Br,Mg
Li,Li,Sn,Cl,Cl,Cl,Br,F
Na,Na,Sn,Cl,Cl,Cl,Br,Li
Na,Na,Sn,Cl,Cl,Cl,Br,Zn
Na,Na,Sn,Cl,Cl,Cl,Br,K
Na,Na,Sn,Cl,Cl,Cl,Br,Na
Na,Na,Sn,Cl,Cl,Cl,Br,Al
Na,Na,Sn,Cl,Cl,Cl,Br,Ca
Na,Na,Sn,Cl,Cl,Cl,Br,Mg
Na,Na,Sn,Cl,Cl,Cl,Br,F
Li,Li,Pb,Br,Br,Br,I,Li
Li,Li,Pb,Br,Br,Br,I,Zn
Li,Li,Pb,Br,Br,Br,I,K
Li,Li,Pb,Br,Br,Br,I,Na
Li,Li,Pb,Br,Br,Br,I,Al
Li,Li,Pb,Br,Br,Br,I,Ca
Li,Li,Pb,Br,Br,Br,I,Mg
Li,Li,Pb,Br,Br,Br,I,F
Na,Na,Pb,Br,Br,Br,I,Li
Na,Na,Pb,Br,Br,Br,I,Zn
Na,Na,Pb,Br,Br,Br,I,K
Na,Na,Pb,Br,Br,Br,I,Na
Na,Na,Pb,Br,Br,Br,I,Al
Na,Na,Pb,Br,Br,Br,I,Ca
Na,Na,Pb,Br,Br,Br,I,Mg
Na,Na,Pb,Br,Br,Br,I,F
K,K,Ge,F,F,Cl,Cl,Li
K,K,Ge,F,F,Cl,Cl,Zn
K,K,Ge,F,F,Cl,Cl,K
K,K,Ge,F,F,Cl,Cl,Na
K,K,Ge,F,F,Cl,Cl,Al
K,K,Ge,F,F,Cl,Cl,Ca
K,K,Ge,F,F,Cl,Cl,Mg
K,K,Ge,F,F,Cl,Cl,F
Rb,Rb,Ge,F,F,F,Br,Li
Rb,Rb,Ge,F,F,F,Br,Zn
Rb,Rb,Ge,F,F,F,Br,K
Rb,Rb,Ge,F,F,F,Br,Na
Rb,Rb,Ge,F,F,F,Br,Al
Rb,Rb,Ge,F,F,F,Br,Ca
Rb,Rb,Ge,F,F,F,Br,Mg
Rb,Rb,Ge,F,F,F,Br,F
K,K,Sn,Br,Br,I,Cl,Li
K,K,Sn,Br,Br,I,Cl,Zn
K,K,Sn,Br,Br,I,Cl,K
K,K,Sn,Br,Br,I,Cl,Na
K,K,Sn,Br,Br,I,Cl,Al
K,K,Sn,Br,Br,I,Cl,Ca
K,K,Sn,Br,Br,I,Cl,Mg
K,K,Sn,Br,Br,I,Cl,F
Cs,Cs,Pb,I,I,I,Cl,Li
Cs,Cs,Pb,I,I,I,Cl,Zn
Cs,Cs,Pb,I,I,I,Cl,K
Cs,Cs,Pb,I,I,I,Cl,Na
Cs,Cs,Pb,I,I,I,Cl,Al
Cs,Cs,Pb,I,I,I,Cl,Ca
Cs,Cs,Pb,I,I,I,Cl,Mg
Cs,Cs,Pb,I,I,I,Cl,F
K,K,Pb,F,Cl,Br,I,Li
K,K,Pb,F,Cl,Br,I,Zn
K,K,Pb,F,Cl,Br,I,K
K,K,Pb,F,Cl,Br,I,Na
K,K,Pb,F,Cl,Br,I,Al
K,K,Pb,F,Cl,Br,I,Ca
K,K,Pb,F,Cl,Br,I,Mg
K,K,Pb,F,Cl,Br,I,F
Cs,Cs,Sn,Br,Br,I,I,Li
Cs,Cs,Sn,Br,Br,I,I,Zn
Cs,Cs,Sn,Br,Br,I,I,K
Cs,Cs,Sn,Br,Br,I,I,Na
Cs,Cs,Sn,Br,Br,I,I,Al
Cs,Cs,Sn,Br,Br,I,I,Ca
Cs,Cs,Sn,Br,Br,I,I,Mg
Cs,Cs,Sn,Br,Br,I,I,F
Rb,Rb,Pb,F,F,F,I,Li
Rb,Rb,Pb,F,F,F,I,Zn
Rb,Rb,Pb,F,F,F,I,K
Rb,Rb,Pb,F,F,F,I,Na
Rb,Rb,Pb,F,F,F,I,Al
Rb,Rb,Pb,F,F,F,I,Ca
Rb,Rb,Pb,F,F,F,I,Mg
Rb,Rb,Pb,F,F,F,I,F
Rb,Rb,Sn,Cl,Cl,I,I,Li
Rb,Rb,Sn,Cl,Cl,I,I,Zn
Rb,Rb,Sn,Cl,Cl,I,I,K
Rb,Rb,Sn,Cl,Cl,I,I,Na
Rb,Rb,Sn,Cl,Cl,I,I,Al
Rb,Rb,Sn,Cl,Cl,I,I,Ca
Rb,Rb,Sn,Cl,Cl,I,I,Mg
Rb,Rb,Sn,Cl,Cl,I,I,F
