Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,ion
Rb,Rb,Sn,Br,Br,Br,Br,Mg
Rb,Rb,Sn,Br,Br,Br,Br,F
Cs,Cs,Sn,Br,Br,Br,Br,Li
Cs,Cs,Sn,Br,Br,Br,Br,Zn
Cs,Cs,Sn,Br,Br,Br,Br,K
Cs,Cs,Sn,Br,Br,Br,Br,Na
Cs,Cs,Sn,Br,Br,Br,Br,Al
Cs,Cs,Sn,Br,Br,Br,Br,Ca
Cs,Cs,Sn,Br,Br,Br,Br,Mg
Cs,Cs,Sn,Br,Br,Br,Br,F
Li,Li,Pb,Br,Br,Br,Br,Li
Li,Li,Pb,Br,Br,Br,Br,Zn
Li,Li,Pb,Br,Br,Br,Br,K
Li,Li,Pb,Br,Br,Br,Br,Na
Li,Li,Pb,Br,Br,Br,Br,Al
Li,Li,Pb,Br,Br,Br,Br,Ca
Li,Li,Pb,Br,Br,Br,Br,Mg
Li,Li,Pb,Br,Br,Br,Br,F
Na,Na,Pb,Br,Br,Br,Br,Li
Na,Na,Pb,Br,Br,Br,Br,Zn
Na,Na,Pb,Br,Br,Br,Br,K
Na,Na,Pb,Br,Br,Br,Br,Na
