,solar_Element_1,solar_Element_2,solar_Element_3,solar_Element_4,solar_Element_5,solar_Element_6,solar_Element_7,solar_ion
0,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
1,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
2,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
3,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
4,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
5,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
6,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
7,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
8,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
9,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
10,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
11,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
12,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
13,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
14,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
15,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
16,0.2121902,0.2121902,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
17,0.2121902,0.2121902,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
18,0.2121902,0.2121902,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
19,0.2121902,0.2121902,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
20,0.2121902,0.2121902,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
21,0.2121902,0.2121902,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
22,0.2121902,0.2121902,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
23,0.2121902,0.2121902,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
24,0.13468511,0.13468511,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
25,0.13468511,0.13468511,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
26,0.13468511,0.13468511,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
27,0.13468511,0.13468511,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
28,0.13468511,0.13468511,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
29,0.13468511,0.13468511,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
30,0.13468511,0.13468511,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
31,0.13468511,0.13468511,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
32,0.24314453,0.24314453,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
33,0.24314453,0.24314453,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
34,0.24314453,0.24314453,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
35,0.24314453,0.24314453,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
36,0.24314453,0.24314453,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
37,0.24314453,0.24314453,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
38,0.24314453,0.24314453,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
39,0.24314453,0.24314453,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
40,0.24562924,0.24562924,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
41,0.24562924,0.24562924,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
42,0.24562924,0.24562924,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
43,0.24562924,0.24562924,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
44,0.24562924,0.24562924,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
45,0.24562924,0.24562924,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
46,0.24562924,0.24562924,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
47,0.24562924,0.24562924,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
48,0.26328102,0.26328102,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
49,0.26328102,0.26328102,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
50,0.26328102,0.26328102,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
51,0.26328102,0.26328102,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
52,0.26328102,0.26328102,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
53,0.26328102,0.26328102,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
54,0.26328102,0.26328102,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
55,0.26328102,0.26328102,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
56,0.2121902,0.2121902,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
57,0.2121902,0.2121902,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
58,0.2121902,0.2121902,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
59,0.2121902,0.2121902,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
60,0.2121902,0.2121902,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
61,0.2121902,0.2121902,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
62,0.2121902,0.2121902,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
63,0.2121902,0.2121902,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
64,0.13468511,0.13468511,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
65,0.13468511,0.13468511,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
66,0.13468511,0.13468511,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
67,0.13468511,0.13468511,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
68,0.13468511,0.13468511,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
69,0.13468511,0.13468511,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
70,0.13468511,0.13468511,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
71,0.13468511,0.13468511,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
72,0.24314453,0.24314453,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
73,0.24314453,0.24314453,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
74,0.24314453,0.24314453,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
75,0.24314453,0.24314453,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
76,0.24314453,0.24314453,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
77,0.24314453,0.24314453,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
78,0.24314453,0.24314453,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
79,0.24314453,0.24314453,0.20178853,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
80,0.24562924,0.24562924,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
81,0.24562924,0.24562924,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
82,0.24562924,0.24562924,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
83,0.24562924,0.24562924,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
84,0.24562924,0.24562924,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
85,0.24562924,0.24562924,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
86,0.24562924,0.24562924,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
87,0.24562924,0.24562924,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
88,0.26328102,0.26328102,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
89,0.26328102,0.26328102,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
90,0.26328102,0.26328102,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
91,0.26328102,0.26328102,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
92,0.26328102,0.26328102,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
93,0.26328102,0.26328102,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
94,0.26328102,0.26328102,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
95,0.26328102,0.26328102,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
96,0.2121902,0.2121902,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
97,0.2121902,0.2121902,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
98,0.2121902,0.2121902,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
99,0.2121902,0.2121902,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
100,0.2121902,0.2121902,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
101,0.2121902,0.2121902,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
102,0.2121902,0.2121902,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
