,Ion
482,K+
483,Na+
484,Al3+
485,Ca2+
486,Mg2+
487,F-
488,Li+
489,Zn2+
490,K+
491,Na+
492,Al3+
493,Ca2+
494,Mg2+
495,F-
496,Li+
497,Zn2+
498,K+
499,Na+
500,Al3+
501,Ca2+
502,Mg2+
503,F-
504,Li+
505,Zn2+
506,K+
507,Na+
508,Al3+
509,Ca2+
510,Mg2+
511,F-
512,Li+
513,Zn2+
514,K+
515,Na+
516,Al3+
517,Ca2+
518,Mg2+
519,F-
520,Li+
521,Zn2+
522,K+
523,Na+
524,Al3+
525,Ca2+
526,Mg2+
527,F-
528,Li+
529,Zn2+
530,K+
531,Na+
532,Al3+
533,Ca2+
534,Mg2+
535,F-
536,Li+
537,Zn2+
538,K+
539,Na+
540,Al3+
541,Ca2+
542,Mg2+
543,F-
544,Li+
545,Zn2+
546,K+
547,Na+
548,Al3+
549,Ca2+
550,Mg2+
551,F-
552,Li+
553,Zn2+
554,K+
555,Na+
556,Al3+
557,Ca2+
558,Mg2+
559,F-
560,Li+
561,Zn2+
562,K+
563,Na+
564,Al3+
565,Ca2+
566,Mg2+
567,F-
568,Li+
569,Zn2+
570,K+
571,Na+
572,Al3+
573,Ca2+
574,Mg2+
575,F-
576,Li+
577,Zn2+
578,K+
579,Na+
580,Al3+
581,Ca2+
582,Mg2+
583,F-
584,Li+
585,Zn2+
586,K+
587,Na+
588,Al3+
589,Ca2+
590,Mg2+
591,F-
592,Li+
593,Zn2+
594,K+
595,Na+
596,Al3+
597,Ca2+
598,Mg2+
599,F-
600,Li+
601,Zn2+
602,K+
603,Na+
604,Al3+
605,Ca2+
606,Mg2+
607,F-
608,Li+
609,Zn2+
610,K+
611,Na+
612,Al3+
613,Ca2+
614,Mg2+
615,F-
616,Li+
617,Zn2+
618,K+
619,Na+
620,Al3+
621,Ca2+
622,Mg2+
623,F-
624,Li+
625,Zn2+
626,K+
627,Na+
628,Al3+
629,Ca2+
630,Mg2+
631,F-
632,Li+
633,Zn2+
634,K+
635,Na+
636,Al3+
637,Ca2+
638,Mg2+
639,F-
