A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Ion Energy(ev),Adsorption energy(ev)
55,55,82,53,53,53,53,20,78,78,125,74,74,74,74,20,6,6,6,5,5,5,5,4,0.242,0.242,0.129,0.214,0.214,0.214,0.214,0.647,1.87,1.87,11.3,4.93,4.93,4.93,4.93,1.54,3.3,3.3,1.8,1.3,1.3,1.3,1.3,2.2,3.8939,3.8939,7.4167,10.4513,10.4513,10.4513,10.4513,6.1132,132.905,132.905,207.2,126.904,126.904,126.904,126.904,40.078,301.7,301.7,600.75,386.65,386.65,386.65,386.65,1112.15,-10171.02572,-11180.06328,-1002.3398,0
3,3,32,53,53,53,53,9,4,4,41,74,74,74,74,10,2,2,4,5,5,5,5,2,3.582,3.582,0.32,0.214,0.214,0.214,0.214,0.824,0.534,0.534,5.32,4.93,4.93,4.93,4.93,0.0017,2.1,2.1,1.5,1.3,1.3,1.3,1.3,0.57,5.3917,5.3917,7.8994,10.4513,10.4513,10.4513,10.4513,17.4228,6.941,6.941,72.64,126.904,126.904,126.904,126.904,18.998,453.85,453.85,1211.45,386.65,386.65,386.65,386.65,53.63,-6131.508999,-6794.942031,-656.7593,0
3,3,32,9,9,9,9,19,4,4,41,10,10,10,10,20,2,2,4,2,2,2,2,4,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.757,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,0.862,2.1,2.1,1.5,0.57,0.57,0.57,0.57,2.8,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,4.3407,6.941,6.941,72.64,18.998,18.998,18.998,18.998,39.098,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,336.5,-5587.936867,-6384.870656,-790.3531,0
3,3,82,9,9,9,9,3,4,4,125,10,10,10,10,4,2,2,6,2,2,2,2,2,3.582,3.582,0.129,0.824,0.824,0.824,0.824,3.582,0.534,0.534,11.3,0.0017,0.0017,0.0017,0.0017,0.534,2.1,2.1,1.8,0.57,0.57,0.57,0.57,2.1,5.3917,5.3917,7.4167,17.4228,17.4228,17.4228,17.4228,5.3917,6.941,6.941,207.2,18.998,18.998,18.998,18.998,6.941,453.85,453.85,600.75,53.63,53.63,53.63,53.63,453.85,-8480.280947,-8686.883634,-200.0479,0
11,11,50,18,18,18,35,9,12,12,69,18,18,18,45,10,3,3,5,3,3,3,4,2,1.228,1.228,0.228,0.479,0.479,0.479,0.474,0.824,0.971,0.971,7.29,0.00321,0.00321,0.00321,3.12,0.0017,2.2,2.2,1.7,0.97,0.97,0.97,1.1,0.57,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,11.8138,17.4228,22.99,22.99,118.71,35.453,35.453,35.453,79.904,18.998,371.15,371.15,505.21,172.31,172.31,172.31,266.05,53.63,-6396.420853,-7059.726885,-656.7593,0
55,55,82,53,53,53,18,20,78,78,125,74,74,74,18,20,6,6,6,5,5,5,3,4,0.242,0.242,0.129,0.214,0.214,0.214,0.479,0.647,1.87,1.87,11.3,4.93,4.93,4.93,0.00321,1.54,3.3,3.3,1.8,1.3,1.3,1.3,0.97,2.2,3.8939,3.8939,7.4167,10.4513,10.4513,10.4513,12.9676,6.1132,132.905,132.905,207.2,126.904,126.904,126.904,35.453,40.078,301.7,301.7,600.75,386.65,386.65,386.65,172.31,1112.15,-9797.945739,-10806.78091,-1002.3398,0
3,19,50,35,35,35,35,9,4,20,69,45,45,45,45,10,2,4,5,4,4,4,4,2,3.582,0.757,0.228,0.474,0.474,0.474,0.474,0.824,0.534,0.862,7.29,3.12,3.12,3.12,3.12,0.0017,2.1,2.8,1.7,1.1,1.1,1.1,1.1,0.57,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,17.4228,6.941,39.098,118.71,79.904,79.904,79.904,79.904,18.998,453.85,336.5,505.21,266.05,266.05,266.05,266.05,53.63,-4903.262548,-5566.502465,-656.7593,0
3,3,50,9,9,9,9,19,4,4,69,10,10,10,10,20,2,2,5,2,2,2,2,4,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.757,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,0.862,2.1,2.1,1.7,0.57,0.57,0.57,0.57,2.8,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,4.3407,6.941,6.941,118.71,18.998,18.998,18.998,18.998,39.098,453.85,453.85,505.21,53.63,53.63,53.63,53.63,336.5,-5099.530655,-5896.340693,-790.3531,0
11,19,32,18,18,18,18,9,12,20,41,18,18,18,18,10,3,4,4,3,3,3,3,2,1.228,0.757,0.32,0.479,0.479,0.479,0.479,0.824,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,0.0017,2.2,2.8,1.5,0.97,0.97,0.97,0.97,0.57,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,17.4228,22.99,39.098,72.64,35.453,35.453,35.453,35.453,18.998,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,53.63,-6331.743092,-6994.903209,-656.7593,0
37,55,82,53,53,53,53,20,48,78,125,74,74,74,74,20,5,6,6,5,5,5,5,4,0.363,0.242,0.129,0.214,0.214,0.214,0.214,0.647,1.53,1.87,11.3,4.93,4.93,4.93,4.93,1.54,3,3.3,1.8,1.3,1.3,1.3,1.3,2.2,4.1771,3.8939,7.4167,10.4513,10.4513,10.4513,10.4513,6.1132,85.468,132.905,207.2,126.904,126.904,126.904,126.904,40.078,312.79,301.7,600.75,386.65,386.65,386.65,386.65,1112.15,-10086.33636,-11095.03209,-1002.3398,0
3,3,82,9,9,9,9,19,4,4,125,10,10,10,10,20,2,2,6,2,2,2,2,4,3.582,3.582,0.129,0.824,0.824,0.824,0.824,0.757,0.534,0.534,11.3,0.0017,0.0017,0.0017,0.0017,0.862,2.1,2.1,1.8,0.57,0.57,0.57,0.57,2.8,5.3917,5.3917,7.4167,17.4228,17.4228,17.4228,17.4228,4.3407,6.941,6.941,207.2,18.998,18.998,18.998,18.998,39.098,453.85,453.85,600.75,53.63,53.63,53.63,53.63,336.5,-8480.280947,-9276.945243,-790.3531,0
11,11,32,9,9,9,9,3,12,12,41,10,10,10,10,4,3,3,4,2,2,2,2,2,1.228,1.228,0.32,0.824,0.824,0.824,0.824,3.582,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.534,2.2,2.2,1.5,0.57,0.57,0.57,0.57,2.1,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,5.3917,22.99,22.99,72.64,18.998,18.998,18.998,18.998,6.941,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,453.85,-7794.302965,-8000.655861,-200.0479,0
11,11,82,18,18,18,18,9,12,12,125,18,18,18,18,10,3,3,6,3,3,3,3,2,1.228,1.228,0.129,0.479,0.479,0.479,0.479,0.824,0.971,0.971,11.3,0.00321,0.00321,0.00321,0.00321,0.0017,2.2,2.2,1.8,0.97,0.97,0.97,0.97,0.57,5.1391,5.1391,7.4167,12.9676,12.9676,12.9676,12.9676,17.4228,22.99,22.99,207.2,35.453,35.453,35.453,35.453,18.998,371.15,371.15,600.75,172.31,172.31,172.31,172.31,53.63,-9736.743457,-10399.77926,-656.7593,0
