Ion
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
Li+
Zn2+
K+
Na+
Al3+
Ca2+
Mg2+
F-
