MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean SpaceGroupNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,Adsorption energy(ev)
15.14285714,65.28571429,32.40431611,299.78,12,2.857142857,107.7142857,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,29.72119048,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473451874
15.14285714,65.28571429,32.40431611,299.78,12,2.857142857,107.7142857,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,29.72119048,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.440871128
15.14285714,65.28571429,32.40431611,299.78,12,2.857142857,107.7142857,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,29.72119048,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.421779538
15.14285714,65.28571429,32.40431611,299.78,12,2.857142857,107.7142857,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,29.72119048,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.81777966
20.28571429,65.57142857,45.65274469,292.9028571,12,3.142857143,112.5714286,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,34.75428571,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.704848985
20.28571429,65.57142857,45.65274469,292.9028571,12,3.142857143,112.5714286,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,34.75428571,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635692636
20.28571429,65.57142857,45.65274469,292.9028571,12,3.142857143,112.5714286,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,34.75428571,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.757852566
20.28571429,65.57142857,45.65274469,292.9028571,12,3.142857143,112.5714286,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,34.75428571,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.568199095
20.28571429,65.57142857,45.65274469,292.9028571,12,3.142857143,112.5714286,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,34.75428571,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.687744372
20.28571429,65.57142857,45.65274469,292.9028571,12,3.142857143,112.5714286,2.795714286,1.714285714,3.142857143,1.428571429,0,6.285714286,0.285714286,1.142857143,0,0,1.428571429,34.75428571,1.180428571,0,106.1428571,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.57150012
