,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
113,167.0,167.0,119,133.0,133.0,133.0,133.0
114,167.0,167.0,119,133.0,133.0,133.0,133.0
115,167.0,167.0,119,133.0,133.0,133.0,133.0
116,167.0,167.0,119,133.0,133.0,133.0,133.0
117,167.0,167.0,119,133.0,133.0,133.0,133.0
118,167.0,167.0,119,133.0,133.0,133.0,133.0
119,167.0,167.0,119,133.0,133.0,133.0,133.0
120,76.0,76.0,73,181.0,181.0,181.0,181.0
121,76.0,76.0,73,181.0,181.0,181.0,181.0
122,76.0,76.0,73,181.0,181.0,181.0,181.0
123,76.0,76.0,73,181.0,181.0,181.0,181.0
124,76.0,76.0,73,181.0,181.0,181.0,181.0
125,76.0,76.0,73,181.0,181.0,181.0,181.0
126,76.0,76.0,73,181.0,181.0,181.0,181.0
127,76.0,76.0,73,181.0,181.0,181.0,181.0
128,102.0,102.0,73,181.0,181.0,181.0,181.0
129,102.0,102.0,73,181.0,181.0,181.0,181.0
130,102.0,102.0,73,181.0,181.0,181.0,181.0
131,102.0,102.0,73,181.0,181.0,181.0,181.0
132,102.0,102.0,73,181.0,181.0,181.0,181.0
133,102.0,102.0,73,181.0,181.0,181.0,181.0
134,102.0,102.0,73,181.0,181.0,181.0,181.0
135,102.0,102.0,73,181.0,181.0,181.0,181.0
136,138.0,138.0,73,181.0,181.0,181.0,181.0
137,138.0,138.0,73,181.0,181.0,181.0,181.0
138,138.0,138.0,73,181.0,181.0,181.0,181.0
139,138.0,138.0,73,181.0,181.0,181.0,181.0
140,138.0,138.0,73,181.0,181.0,181.0,181.0
141,138.0,138.0,73,181.0,181.0,181.0,181.0
142,138.0,138.0,73,181.0,181.0,181.0,181.0
143,138.0,138.0,73,181.0,181.0,181.0,181.0
144,196.0,196.0,73,181.0,181.0,181.0,181.0
145,196.0,196.0,73,181.0,181.0,181.0,181.0
146,196.0,196.0,73,181.0,181.0,181.0,181.0
147,196.0,196.0,73,181.0,181.0,181.0,181.0
148,196.0,196.0,73,181.0,181.0,181.0,181.0
149,196.0,196.0,73,181.0,181.0,181.0,181.0
150,196.0,196.0,73,181.0,181.0,181.0,181.0
151,196.0,196.0,73,181.0,181.0,181.0,181.0
152,167.0,167.0,73,181.0,181.0,181.0,181.0
153,167.0,167.0,73,181.0,181.0,181.0,181.0
154,167.0,167.0,73,181.0,181.0,181.0,181.0
155,167.0,167.0,73,181.0,181.0,181.0,181.0
156,167.0,167.0,73,181.0,181.0,181.0,181.0
157,167.0,167.0,73,181.0,181.0,181.0,181.0
158,167.0,167.0,73,181.0,181.0,181.0,181.0
159,167.0,167.0,73,181.0,181.0,181.0,181.0
160,76.0,76.0,112,181.0,181.0,181.0,181.0
161,76.0,76.0,112,181.0,181.0,181.0,181.0
162,76.0,76.0,112,181.0,181.0,181.0,181.0
163,76.0,76.0,112,181.0,181.0,181.0,181.0
164,76.0,76.0,112,181.0,181.0,181.0,181.0
165,76.0,76.0,112,181.0,181.0,181.0,181.0
166,76.0,76.0,112,181.0,181.0,181.0,181.0
167,76.0,76.0,112,181.0,181.0,181.0,181.0
168,102.0,102.0,112,181.0,181.0,181.0,181.0
169,102.0,102.0,112,181.0,181.0,181.0,181.0
170,102.0,102.0,112,181.0,181.0,181.0,181.0
171,102.0,102.0,112,181.0,181.0,181.0,181.0
172,102.0,102.0,112,181.0,181.0,181.0,181.0
173,102.0,102.0,112,181.0,181.0,181.0,181.0
174,102.0,102.0,112,181.0,181.0,181.0,181.0
175,102.0,102.0,112,181.0,181.0,181.0,181.0
176,138.0,138.0,112,181.0,181.0,181.0,181.0
177,138.0,138.0,112,181.0,181.0,181.0,181.0
178,138.0,138.0,112,181.0,181.0,181.0,181.0
179,138.0,138.0,112,181.0,181.0,181.0,181.0
180,138.0,138.0,112,181.0,181.0,181.0,181.0
181,138.0,138.0,112,181.0,181.0,181.0,181.0
182,138.0,138.0,112,181.0,181.0,181.0,181.0
183,138.0,138.0,112,181.0,181.0,181.0,181.0
184,196.0,196.0,112,181.0,181.0,181.0,181.0
185,196.0,196.0,112,181.0,181.0,181.0,181.0
186,196.0,196.0,112,181.0,181.0,181.0,181.0
187,196.0,196.0,112,181.0,181.0,181.0,181.0
188,196.0,196.0,112,181.0,181.0,181.0,181.0
189,196.0,196.0,112,181.0,181.0,181.0,181.0
190,196.0,196.0,112,181.0,181.0,181.0,181.0
191,196.0,196.0,112,181.0,181.0,181.0,181.0
192,167.0,167.0,112,181.0,181.0,181.0,181.0
193,167.0,167.0,112,181.0,181.0,181.0,181.0
194,167.0,167.0,112,181.0,181.0,181.0,181.0
195,167.0,167.0,112,181.0,181.0,181.0,181.0
196,167.0,167.0,112,181.0,181.0,181.0,181.0
197,167.0,167.0,112,181.0,181.0,181.0,181.0
198,167.0,167.0,112,181.0,181.0,181.0,181.0
199,167.0,167.0,112,181.0,181.0,181.0,181.0
200,76.0,76.0,119,181.0,181.0,181.0,181.0
201,76.0,76.0,119,181.0,181.0,181.0,181.0
202,76.0,76.0,119,181.0,181.0,181.0,181.0
203,76.0,76.0,119,181.0,181.0,181.0,181.0
204,76.0,76.0,119,181.0,181.0,181.0,181.0
205,76.0,76.0,119,181.0,181.0,181.0,181.0
206,76.0,76.0,119,181.0,181.0,181.0,181.0
207,76.0,76.0,119,181.0,181.0,181.0,181.0
208,102.0,102.0,119,181.0,181.0,181.0,181.0
209,102.0,102.0,119,181.0,181.0,181.0,181.0
210,102.0,102.0,119,181.0,181.0,181.0,181.0
211,102.0,102.0,119,181.0,181.0,181.0,181.0
212,102.0,102.0,119,181.0,181.0,181.0,181.0
213,102.0,102.0,119,181.0,181.0,181.0,181.0
214,102.0,102.0,119,181.0,181.0,181.0,181.0
215,102.0,102.0,119,181.0,181.0,181.0,181.0
216,138.0,138.0,119,181.0,181.0,181.0,181.0
217,138.0,138.0,119,181.0,181.0,181.0,181.0
218,138.0,138.0,119,181.0,181.0,181.0,181.0
219,138.0,138.0,119,181.0,181.0,181.0,181.0
220,138.0,138.0,119,181.0,181.0,181.0,181.0
221,138.0,138.0,119,181.0,181.0,181.0,181.0
222,138.0,138.0,119,181.0,181.0,181.0,181.0
223,138.0,138.0,119,181.0,181.0,181.0,181.0
224,196.0,196.0,119,181.0,181.0,181.0,181.0
225,196.0,196.0,119,181.0,181.0,181.0,181.0
226,196.0,196.0,119,181.0,181.0,181.0,181.0
227,196.0,196.0,119,181.0,181.0,181.0,181.0
228,196.0,196.0,119,181.0,181.0,181.0,181.0
229,196.0,196.0,119,181.0,181.0,181.0,181.0
230,196.0,196.0,119,181.0,181.0,181.0,181.0
231,196.0,196.0,119,181.0,181.0,181.0,181.0
232,167.0,167.0,119,181.0,181.0,181.0,181.0
233,167.0,167.0,119,181.0,181.0,181.0,181.0
234,167.0,167.0,119,181.0,181.0,181.0,181.0
235,167.0,167.0,119,181.0,181.0,181.0,181.0
236,167.0,167.0,119,181.0,181.0,181.0,181.0
237,167.0,167.0,119,181.0,181.0,181.0,181.0
238,167.0,167.0,119,181.0,181.0,181.0,181.0
