,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,Ion NumberofNeutrons,Ion Specific Heat,Ion Density,Ion AtomicRadius,Ion Firstlonization,Ion AtomicMass,Ion Melting Point,Adsorption energy(ev)
200,45.42857143,67.28571429,107.3133543,22.38984653,483.3885714,208.0032653,4.857142857,159.4285714,34.6122449,2.041428571,0.706938776,53.78714286,21.10591837,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
201,14.0,65.14285714,30.15253545,13.65369403,326.4628571,278.2146939,2.714285714,103.5714286,40.36734694,2.71,1.217142857,19.30166667,8.223571429,20,0.647,1.54,2.2,6.1132,40.078,1112.15,1
202,42.85714286,67.14285714,100.6463543,35.17031673,389.3628571,33.06204082,4.714285714,157.2857143,26.12244898,2.034285714,0.715102041,50.22261905,13.07659864,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
203,40.28571429,67.0,94.06492571,37.53090776,490.2657143,206.0383673,4.571428571,154.5714286,27.67346939,2.041428571,0.706938776,48.75404762,13.91578231,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
204,57.71428571,67.85714286,140.0898263,19.17433536,393.0271429,59.30938776,5.428571429,170.0,42.28571429,2.078571429,0.736326531,61.67142857,30.91061224,35,0.388,7.13,1.5,9.3942,65.38,692.88,1
205,40.28571429,67.0,94.00955769,22.22622527,411.1114286,228.6538776,4.571428571,155.4285714,50.6122449,2.204285714,0.863673469,53.20785714,35.74693878,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
206,42.85714286,67.14285714,100.5909863,23.64227001,310.2085714,55.67755102,4.714285714,158.1428571,49.06122449,2.197142857,0.871836735,54.67642857,34.9077551,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
207,42.85714286,67.14285714,100.5909863,23.64227001,310.2085714,55.67755102,4.714285714,158.1428571,49.06122449,2.197142857,0.871836735,54.67642857,34.9077551,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
208,25.42857143,65.85714286,59.20635951,45.95195007,289.7971429,270.0538776,3.428571429,119.4285714,71.34693878,2.787142857,1.363265306,41.90928571,42.20326531,35,0.388,7.13,1.5,9.3942,65.38,692.88,1
209,45.14285714,67.0,108.6853455,48.9689007,412.8214286,53.65387755,4.571428571,147.7142857,10.44897959,2.118571429,0.679183673,36.95095238,6.930340136,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
210,33.71428571,66.28571429,80.29075423,52.53630088,253.2685714,171.2302041,3.857142857,128.0,60.85714286,2.652857143,1.139591837,40.24178571,29.63846939,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
211,42.85714286,66.71428571,104.0999829,55.51941878,436.4842857,56.72489796,4.285714286,136.8571429,5.06122449,2.132857143,0.65877551,33.33666667,11.06095238,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
212,22.28571429,65.57142857,51.842,44.388,313.4842857,162.1534694,3.142857143,115.7142857,15.67346939,2.418571429,0.847346939,22.7552381,3.521088435,20,0.647,1.54,2.2,6.1132,40.078,1112.15,1
213,45.42857143,67.28571429,107.3133543,22.38984653,483.3885714,208.0032653,4.857142857,159.4285714,34.6122449,2.041428571,0.706938776,53.78714286,21.10591837,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
214,26.85714286,66.14285714,61.0298,41.76291429,280.01,123.8971429,3.714285714,137.1428571,40.16326531,2.372857143,0.899591837,38.90190476,19.54557823,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
215,47.42857143,67.28571429,113.2324148,38.08961695,323.8557143,79.07265306,4.857142857,159.1428571,48.48979592,2.25,0.834285714,53.93714286,35.33020408,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
216,42.85714286,67.14285714,100.6463543,35.17031673,389.3628571,33.06204082,4.714285714,157.2857143,26.12244898,2.034285714,0.715102041,50.22261905,13.07659864,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
217,20.0,65.71428571,43.78593408,21.40687598,276.1742857,119.5134694,3.285714286,125.5714286,26.93877551,2.351428571,0.924081633,27.10880952,2.984353741,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
218,14.0,65.14285714,30.15253545,13.65369403,326.4628571,278.2146939,2.714285714,103.5714286,40.36734694,2.71,1.217142857,19.30166667,8.223571429,4,3.582,0.534,2.1,5.3917,6.941,453.85,1
219,48.0,67.42857143,113.8947829,16.2439902,382.4857143,40.01469388,5.0,162.1428571,33.06122449,2.034285714,0.715102041,55.25571429,20.26673469,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
220,27.71428571,66.14285714,62.60507694,22.63731866,430.9057143,222.9983673,3.714285714,133.1428571,18.7755102,2.244285714,0.817959184,28.48738095,1.566394558,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
221,30.28571429,66.28571429,69.19504286,26.38593878,336.9285714,81.40367347,3.857142857,135.7142857,20.16326531,2.228571429,0.835918367,34.415,11.0547619,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
222,22.57142857,65.85714286,50.13607694,28.09767032,289.6314286,107.9787755,3.428571429,128.1428571,24.73469388,2.322857143,0.899591837,27.82059524,2.848367347,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
223,13.14285714,64.85714286,29.79794469,25.40344438,232.3514286,204.4016327,2.428571429,89.0,36.57142857,2.834285714,1.309387755,15.04309524,6.097823129,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
224,27.42857143,66.28571429,61.78939313,36.58190447,261.3714286,102.5959184,3.857142857,142.0,46.57142857,2.315714286,0.964897959,45.7352381,27.82891156,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
225,47.42857143,67.28571429,113.2877829,42.3939902,403.01,56.45714286,4.857142857,158.2857143,25.55102041,2.087142857,0.724081633,49.48333333,13.49904762,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
226,30.0,66.42857143,67.20751429,16.06240816,421.0942857,225.8016327,4.0,143.7142857,33.87755102,2.212857143,0.853877551,41.0197619,18.33537415,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
227,37.42857143,66.57142857,88.54228694,44.86282746,360.9428571,81.55102041,4.142857143,139.5714286,16.93877551,2.247142857,0.752653061,31.1502381,3.389931973,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
228,27.42857143,66.28571429,61.78939313,36.58190447,261.3714286,102.5959184,3.857142857,142.0,46.57142857,2.315714286,0.964897959,45.7352381,27.82891156,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
229,30.28571429,66.28571429,69.18650551,26.39813499,330.0028571,73.37469388,3.857142857,135.8571429,18.12244898,2.237142857,0.826122449,29.95595238,0.951156463,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
230,52.57142857,67.57142857,126.5362114,23.46766367,396.1328571,58.42204082,5.142857143,163.1428571,32.48979592,2.087142857,0.724081633,54.51642857,20.68918367,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
231,11.71428571,64.85714286,25.5671728,16.27390126,350.1257143,305.2579592,2.428571429,92.71428571,30.6122449,2.724285714,1.200816327,15.68738095,5.125612245,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
232,17.42857143,65.57142857,37.10562949,11.29134616,333.5228571,252.5404082,3.142857143,120.5714286,47.10204082,2.561428571,1.152653061,33.94690476,22.3770068,20,0.757,0.862,2.8,4.3407,39.098,336.5,1
233,26.85714286,66.14285714,61.0298,41.76291429,280.01,123.8971429,3.714285714,137.1428571,40.16326531,2.372857143,0.899591837,38.90190476,19.54557823,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
234,33.42857143,66.42857143,78.09378189,51.35060696,307.3457143,123.1820408,4.0,138.5714286,39.06122449,2.39,0.914285714,40.14619048,19.65421769,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
235,34.85714286,66.42857143,81.82793408,35.82059026,343.65,88.97142857,4.0,136.8571429,19.26530612,2.29,0.777142857,29.21666667,0.316190476,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
236,48.0,67.42857143,114.019692,19.49468113,344.7942857,69.8277551,5.0,163.5714286,45.95918367,2.111428571,0.798367347,58.54357143,32.69795918,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
