,id,atomic_number,oxidation_state,category
395,396,71,2,extended
396,397,71,3,main
397,398,72,-2,extended
398,399,72,0,extended
399,400,72,1,extended
400,401,72,2,extended
401,402,72,3,extended
402,403,72,4,main
403,404,73,-3,extended
404,405,73,-1,extended
405,406,73,0,extended
406,407,73,1,extended
407,408,73,2,extended
408,409,73,3,extended
409,410,73,4,extended
410,411,73,5,main
411,412,74,-4,extended
412,413,74,-2,extended
413,414,74,-1,extended
414,415,74,0,extended
415,416,74,1,extended
416,417,74,2,extended
417,418,74,3,extended
418,419,74,4,main
419,420,74,5,extended
420,421,74,6,main
421,422,75,-3,extended
422,423,75,-1,extended
423,424,75,0,extended
424,425,75,1,extended
425,426,75,2,extended
426,427,75,3,extended
427,428,75,4,main
428,429,75,5,extended
429,430,75,6,extended
430,431,75,7,main
431,432,76,-4,extended
432,433,76,-2,extended
433,434,76,-1,extended
434,435,76,0,extended
435,436,76,1,extended
436,437,76,2,extended
437,438,76,3,extended
438,439,76,4,main
439,440,76,5,extended
440,441,76,6,extended
441,442,76,7,extended
442,443,76,8,extended
443,444,77,-3,extended
444,445,77,-1,extended
445,446,77,0,extended
446,447,77,1,extended
447,448,77,2,extended
448,449,77,3,main
449,450,77,4,main
450,451,77,5,extended
451,452,77,6,extended
452,453,77,7,extended
453,454,77,8,extended
454,455,77,9,extended
455,456,78,-3,extended
456,457,78,-2,extended
457,458,78,-1,extended
458,459,78,0,extended
459,460,78,1,extended
460,461,78,2,main
461,462,78,3,extended
462,463,78,4,main
463,464,78,5,extended
464,465,78,6,extended
465,466,79,-3,extended
466,467,79,-2,extended
467,468,79,-1,extended
468,469,79,0,extended
469,470,79,1,main
470,471,79,2,extended
471,472,79,3,main
472,473,79,5,extended
473,474,80,-2,extended
474,475,80,1,main
475,476,80,2,main
476,477,81,-5,extended
477,478,81,-2,extended
478,479,81,-1,extended
479,480,81,1,main
480,481,81,2,extended
481,482,81,3,main
482,483,82,-4,extended
483,484,82,-2,extended
484,485,82,-1,extended
485,486,82,0,extended
486,487,82,1,extended
487,488,82,2,main
488,489,82,3,extended
489,490,82,4,main
490,491,83,-3,extended
491,492,83,-2,extended
492,493,83,-1,extended
493,494,83,0,extended
494,495,83,1,extended
495,496,83,2,extended
496,497,83,3,main
497,498,83,4,extended
498,499,83,5,extended
499,500,84,-2,main
500,501,84,2,main
501,502,84,4,main
502,503,84,5,extended
503,504,84,6,extended
504,505,85,-1,main
505,506,85,1,main
506,507,85,3,extended
507,508,85,5,extended
508,509,85,7,extended
509,510,86,2,main
510,511,86,6,extended
511,512,87,1,main
512,513,88,2,main
513,514,89,2,extended
514,515,89,3,main
515,516,90,-1,extended
516,517,90,1,extended
517,518,90,2,extended
518,519,90,3,extended
519,520,90,4,main
520,521,91,2,extended
521,522,91,3,extended
522,523,91,4,extended
523,524,91,5,main
524,525,92,-1,extended
525,526,92,1,extended
526,527,92,2,extended
527,528,92,3,extended
528,529,92,4,main
529,530,92,5,extended
530,531,92,6,main
531,532,93,2,extended
532,533,93,3,extended
533,534,93,4,extended
534,535,93,5,main
535,536,93,6,extended
536,537,93,7,extended
537,538,94,2,extended
538,539,94,3,extended
539,540,94,4,main
540,541,94,5,extended
541,542,94,6,extended
542,543,94,7,extended
543,544,94,8,extended
544,545,95,2,extended
545,546,95,3,main
546,547,95,4,extended
547,548,95,5,extended
548,549,95,6,extended
549,550,95,7,extended
550,551,96,3,main
551,552,96,4,extended
552,553,96,5,extended
553,554,96,6,extended
554,555,97,2,extended
555,556,97,3,main
556,557,97,4,extended
557,558,97,5,extended
558,559,98,2,extended
559,560,98,3,main
560,561,98,4,extended
561,562,98,5,extended
562,563,99,2,extended
563,564,99,3,main
564,565,99,4,extended
565,566,100,2,extended
566,567,100,3,main
567,568,101,2,extended
568,569,101,3,main
569,570,102,2,main
570,571,102,3,extended
571,572,103,3,main
572,573,104,4,main
573,574,105,5,main
574,575,106,0,extended
575,576,106,6,main
576,577,107,7,main
577,578,108,8,main
578,579,112,2,main
