Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
Cs,Cs,Sn,Br,Br,Br,Br
Cs,Cs,Sn,Br,Br,Br,Br
Li,Li,Pb,Br,Br,Br,Br
Li,Li,Pb,Br,Br,Br,Br
Li,Li,Pb,Br,Br,Br,Br
Li,Li,Pb,Br,Br,Br,Br
Li,Li,Pb,Br,Br,Br,Br
Li,Li,Pb,Br,Br,Br,Br
Li,Li,Pb,Br,Br,Br,Br
Li,Li,Pb,Br,Br,Br,Br
Na,Na,Pb,Br,Br,Br,Br
Na,Na,Pb,Br,Br,Br,Br
Na,Na,Pb,Br,Br,Br,Br
Na,Na,Pb,Br,Br,Br,Br
Na,Na,Pb,Br,Br,Br,Br
Na,Na,Pb,Br,Br,Br,Br
Na,Na,Pb,Br,Br,Br,Br
Na,Na,Pb,Br,Br,Br,Br
K,K,Pb,Br,Br,Br,Br
K,K,Pb,Br,Br,Br,Br
K,K,Pb,Br,Br,Br,Br
K,K,Pb,Br,Br,Br,Br
K,K,Pb,Br,Br,Br,Br
K,K,Pb,Br,Br,Br,Br
K,K,Pb,Br,Br,Br,Br
K,K,Pb,Br,Br,Br,Br
Rb,Rb,Pb,Br,Br,Br,Br
Rb,Rb,Pb,Br,Br,Br,Br
Rb,Rb,Pb,Br,Br,Br,Br
Rb,Rb,Pb,Br,Br,Br,Br
Rb,Rb,Pb,Br,Br,Br,Br
Rb,Rb,Pb,Br,Br,Br,Br
Rb,Rb,Pb,Br,Br,Br,Br
Rb,Rb,Pb,Br,Br,Br,Br
Cs,Cs,Pb,Br,Br,Br,Br
Cs,Cs,Pb,Br,Br,Br,Br
Cs,Cs,Pb,Br,Br,Br,Br
Cs,Cs,Pb,Br,Br,Br,Br
Cs,Cs,Pb,Br,Br,Br,Br
Cs,Cs,Pb,Br,Br,Br,Br
Cs,Cs,Pb,Br,Br,Br,Br
Cs,Cs,Pb,Br,Br,Br,Br
Li,Li,Ge,I,I,I,I
Li,Li,Ge,I,I,I,I
Li,Li,Ge,I,I,I,I
Li,Li,Ge,I,I,I,I
Li,Li,Ge,I,I,I,I
Li,Li,Ge,I,I,I,I
Li,Li,Ge,I,I,I,I
Li,Li,Ge,I,I,I,I
Na,Na,Ge,I,I,I,I
Na,Na,Ge,I,I,I,I
Na,Na,Ge,I,I,I,I
Na,Na,Ge,I,I,I,I
Na,Na,Ge,I,I,I,I
Na,Na,Ge,I,I,I,I
Na,Na,Ge,I,I,I,I
Na,Na,Ge,I,I,I,I
K,K,Ge,I,I,I,I
K,K,Ge,I,I,I,I
K,K,Ge,I,I,I,I
K,K,Ge,I,I,I,I
K,K,Ge,I,I,I,I
K,K,Ge,I,I,I,I
K,K,Ge,I,I,I,I
K,K,Ge,I,I,I,I
Rb,Rb,Ge,I,I,I,I
Rb,Rb,Ge,I,I,I,I
Rb,Rb,Ge,I,I,I,I
Rb,Rb,Ge,I,I,I,I
Rb,Rb,Ge,I,I,I,I
Rb,Rb,Ge,I,I,I,I
Rb,Rb,Ge,I,I,I,I
Rb,Rb,Ge,I,I,I,I
Cs,Cs,Ge,I,I,I,I
Cs,Cs,Ge,I,I,I,I
Cs,Cs,Ge,I,I,I,I
Cs,Cs,Ge,I,I,I,I
Cs,Cs,Ge,I,I,I,I
Cs,Cs,Ge,I,I,I,I
Cs,Cs,Ge,I,I,I,I
Cs,Cs,Ge,I,I,I,I
Li,Li,Sn,I,I,I,I
Li,Li,Sn,I,I,I,I
Li,Li,Sn,I,I,I,I
Li,Li,Sn,I,I,I,I
Li,Li,Sn,I,I,I,I
Li,Li,Sn,I,I,I,I
Li,Li,Sn,I,I,I,I
Li,Li,Sn,I,I,I,I
Na,Na,Sn,I,I,I,I
Na,Na,Sn,I,I,I,I
Na,Na,Sn,I,I,I,I
Na,Na,Sn,I,I,I,I
Na,Na,Sn,I,I,I,I
Na,Na,Sn,I,I,I,I
Na,Na,Sn,I,I,I,I
Na,Na,Sn,I,I,I,I
K,K,Sn,I,I,I,I
K,K,Sn,I,I,I,I
K,K,Sn,I,I,I,I
K,K,Sn,I,I,I,I
K,K,Sn,I,I,I,I
K,K,Sn,I,I,I,I
K,K,Sn,I,I,I,I
K,K,Sn,I,I,I,I
Rb,Rb,Sn,I,I,I,I
Rb,Rb,Sn,I,I,I,I
Rb,Rb,Sn,I,I,I,I
Rb,Rb,Sn,I,I,I,I
Rb,Rb,Sn,I,I,I,I
Rb,Rb,Sn,I,I,I,I
Rb,Rb,Sn,I,I,I,I
Rb,Rb,Sn,I,I,I,I
Cs,Cs,Sn,I,I,I,I
Cs,Cs,Sn,I,I,I,I
Cs,Cs,Sn,I,I,I,I
Cs,Cs,Sn,I,I,I,I
Cs,Cs,Sn,I,I,I,I
Cs,Cs,Sn,I,I,I,I
Cs,Cs,Sn,I,I,I,I
Cs,Cs,Sn,I,I,I,I
Li,Li,Pb,I,I,I,I
Li,Li,Pb,I,I,I,I
Li,Li,Pb,I,I,I,I
Li,Li,Pb,I,I,I,I
Li,Li,Pb,I,I,I,I
Li,Li,Pb,I,I,I,I
Li,Li,Pb,I,I,I,I
Li,Li,Pb,I,I,I,I
Na,Na,Pb,I,I,I,I
Na,Na,Pb,I,I,I,I
Na,Na,Pb,I,I,I,I
Na,Na,Pb,I,I,I,I
Na,Na,Pb,I,I,I,I
Na,Na,Pb,I,I,I,I
Na,Na,Pb,I,I,I,I
Na,Na,Pb,I,I,I,I
K,K,Pb,I,I,I,I
K,K,Pb,I,I,I,I
K,K,Pb,I,I,I,I
K,K,Pb,I,I,I,I
K,K,Pb,I,I,I,I
K,K,Pb,I,I,I,I
K,K,Pb,I,I,I,I
K,K,Pb,I,I,I,I
Rb,Rb,Pb,I,I,I,I
Rb,Rb,Pb,I,I,I,I
Rb,Rb,Pb,I,I,I,I
Rb,Rb,Pb,I,I,I,I
Rb,Rb,Pb,I,I,I,I
Rb,Rb,Pb,I,I,I,I
Rb,Rb,Pb,I,I,I,I
Rb,Rb,Pb,I,I,I,I
Cs,Cs,Pb,I,I,I,I
Cs,Cs,Pb,I,I,I,I
Cs,Cs,Pb,I,I,I,I
Cs,Cs,Pb,I,I,I,I
Cs,Cs,Pb,I,I,I,I
Cs,Cs,Pb,I,I,I,I
Cs,Cs,Pb,I,I,I,I
Cs,Cs,Pb,I,I,I,I
Li,Na,Ge,F,F,F,F
Li,Na,Ge,F,F,F,F
Li,Na,Ge,F,F,F,F
Li,Na,Ge,F,F,F,F
Li,Na,Ge,F,F,F,F
Li,Na,Ge,F,F,F,F
Li,Na,Ge,F,F,F,F
Li,Na,Ge,F,F,F,F
Na,K,Ge,Cl,Cl,Cl,Cl
Na,K,Ge,Cl,Cl,Cl,Cl
Na,K,Ge,Cl,Cl,Cl,Cl
Na,K,Ge,Cl,Cl,Cl,Cl
Na,K,Ge,Cl,Cl,Cl,Cl
Na,K,Ge,Cl,Cl,Cl,Cl
Na,K,Ge,Cl,Cl,Cl,Cl
Na,K,Ge,Cl,Cl,Cl,Cl
K,Cs,Sn,Cl,Cl,Cl,Cl
K,Cs,Sn,Cl,Cl,Cl,Cl
K,Cs,Sn,Cl,Cl,Cl,Cl
K,Cs,Sn,Cl,Cl,Cl,Cl
K,Cs,Sn,Cl,Cl,Cl,Cl
K,Cs,Sn,Cl,Cl,Cl,Cl
K,Cs,Sn,Cl,Cl,Cl,Cl
K,Cs,Sn,Cl,Cl,Cl,Cl
Li,K,Sn,Br,Br,Br,Br
Li,K,Sn,Br,Br,Br,Br
Li,K,Sn,Br,Br,Br,Br
Li,K,Sn,Br,Br,Br,Br
Li,K,Sn,Br,Br,Br,Br
Li,K,Sn,Br,Br,Br,Br
Li,K,Sn,Br,Br,Br,Br
Li,K,Sn,Br,Br,Br,Br
K,Rb,Pb,Br,Br,Br,Br
K,Rb,Pb,Br,Br,Br,Br
K,Rb,Pb,Br,Br,Br,Br
K,Rb,Pb,Br,Br,Br,Br
K,Rb,Pb,Br,Br,Br,Br
K,Rb,Pb,Br,Br,Br,Br
K,Rb,Pb,Br,Br,Br,Br
K,Rb,Pb,Br,Br,Br,Br
Rb,Cs,Pb,I,I,I,I
Rb,Cs,Pb,I,I,I,I
Rb,Cs,Pb,I,I,I,I
Rb,Cs,Pb,I,I,I,I
Rb,Cs,Pb,I,I,I,I
Rb,Cs,Pb,I,I,I,I
Rb,Cs,Pb,I,I,I,I
Rb,Cs,Pb,I,I,I,I
Li,Li,Ge,F,F,F,Cl
Li,Li,Ge,F,F,F,Cl
Li,Li,Ge,F,F,F,Cl
Li,Li,Ge,F,F,F,Cl
Li,Li,Ge,F,F,F,Cl
Li,Li,Ge,F,F,F,Cl
Li,Li,Ge,F,F,F,Cl
Li,Li,Ge,F,F,F,Cl
Na,Na,Ge,F,F,F,Cl
Na,Na,Ge,F,F,F,Cl
Na,Na,Ge,F,F,F,Cl
Na,Na,Ge,F,F,F,Cl
Na,Na,Ge,F,F,F,Cl
Na,Na,Ge,F,F,F,Cl
Na,Na,Ge,F,F,F,Cl
Na,Na,Ge,F,F,F,Cl
Li,Li,Sn,Cl,Cl,Cl,Br
Li,Li,Sn,Cl,Cl,Cl,Br
Li,Li,Sn,Cl,Cl,Cl,Br
Li,Li,Sn,Cl,Cl,Cl,Br
Li,Li,Sn,Cl,Cl,Cl,Br
Li,Li,Sn,Cl,Cl,Cl,Br
Li,Li,Sn,Cl,Cl,Cl,Br
Li,Li,Sn,Cl,Cl,Cl,Br
Na,Na,Sn,Cl,Cl,Cl,Br
Na,Na,Sn,Cl,Cl,Cl,Br
Na,Na,Sn,Cl,Cl,Cl,Br
Na,Na,Sn,Cl,Cl,Cl,Br
Na,Na,Sn,Cl,Cl,Cl,Br
Na,Na,Sn,Cl,Cl,Cl,Br
Na,Na,Sn,Cl,Cl,Cl,Br
Na,Na,Sn,Cl,Cl,Cl,Br
Li,Li,Pb,Br,Br,Br,I
Li,Li,Pb,Br,Br,Br,I
Li,Li,Pb,Br,Br,Br,I
Li,Li,Pb,Br,Br,Br,I
Li,Li,Pb,Br,Br,Br,I
Li,Li,Pb,Br,Br,Br,I
Li,Li,Pb,Br,Br,Br,I
Li,Li,Pb,Br,Br,Br,I
Na,Na,Pb,Br,Br,Br,I
Na,Na,Pb,Br,Br,Br,I
Na,Na,Pb,Br,Br,Br,I
Na,Na,Pb,Br,Br,Br,I
Na,Na,Pb,Br,Br,Br,I
Na,Na,Pb,Br,Br,Br,I
Na,Na,Pb,Br,Br,Br,I
Na,Na,Pb,Br,Br,Br,I
K,K,Ge,F,F,Cl,Cl
K,K,Ge,F,F,Cl,Cl
K,K,Ge,F,F,Cl,Cl
K,K,Ge,F,F,Cl,Cl
K,K,Ge,F,F,Cl,Cl
K,K,Ge,F,F,Cl,Cl
K,K,Ge,F,F,Cl,Cl
K,K,Ge,F,F,Cl,Cl
Rb,Rb,Ge,F,F,F,Br
Rb,Rb,Ge,F,F,F,Br
Rb,Rb,Ge,F,F,F,Br
Rb,Rb,Ge,F,F,F,Br
Rb,Rb,Ge,F,F,F,Br
Rb,Rb,Ge,F,F,F,Br
Rb,Rb,Ge,F,F,F,Br
Rb,Rb,Ge,F,F,F,Br
K,K,Sn,Br,Br,I,Cl
K,K,Sn,Br,Br,I,Cl
K,K,Sn,Br,Br,I,Cl
K,K,Sn,Br,Br,I,Cl
K,K,Sn,Br,Br,I,Cl
K,K,Sn,Br,Br,I,Cl
K,K,Sn,Br,Br,I,Cl
K,K,Sn,Br,Br,I,Cl
Cs,Cs,Pb,I,I,I,Cl
Cs,Cs,Pb,I,I,I,Cl
Cs,Cs,Pb,I,I,I,Cl
Cs,Cs,Pb,I,I,I,Cl
Cs,Cs,Pb,I,I,I,Cl
Cs,Cs,Pb,I,I,I,Cl
Cs,Cs,Pb,I,I,I,Cl
Cs,Cs,Pb,I,I,I,Cl
K,K,Pb,F,Cl,Br,I
K,K,Pb,F,Cl,Br,I
K,K,Pb,F,Cl,Br,I
K,K,Pb,F,Cl,Br,I
K,K,Pb,F,Cl,Br,I
K,K,Pb,F,Cl,Br,I
K,K,Pb,F,Cl,Br,I
K,K,Pb,F,Cl,Br,I
Cs,Cs,Sn,Br,Br,I,I
Cs,Cs,Sn,Br,Br,I,I
Cs,Cs,Sn,Br,Br,I,I
Cs,Cs,Sn,Br,Br,I,I
Cs,Cs,Sn,Br,Br,I,I
Cs,Cs,Sn,Br,Br,I,I
Cs,Cs,Sn,Br,Br,I,I
Cs,Cs,Sn,Br,Br,I,I
Rb,Rb,Pb,F,F,F,I
Rb,Rb,Pb,F,F,F,I
Rb,Rb,Pb,F,F,F,I
Rb,Rb,Pb,F,F,F,I
Rb,Rb,Pb,F,F,F,I
Rb,Rb,Pb,F,F,F,I
Rb,Rb,Pb,F,F,F,I
Rb,Rb,Pb,F,F,F,I
Rb,Rb,Sn,Cl,Cl,I,I
Rb,Rb,Sn,Cl,Cl,I,I
Rb,Rb,Sn,Cl,Cl,I,I
Rb,Rb,Sn,Cl,Cl,I,I
Rb,Rb,Sn,Cl,Cl,I,I
Rb,Rb,Sn,Cl,Cl,I,I
Rb,Rb,Sn,Cl,Cl,I,I
Rb,Rb,Sn,Cl,Cl,I,I
