Name,Ion,Adsorption energy(ev)
CsCsPbIIICl,Na+,-2.429120786
CsCsPbIIICl,Al3+,-1.405289462
CsCsPbIIICl,Ca2+,-6.495372806
CsCsPbIIICl,Mg2+,-1.743341336
CsCsPbIIICl,F-,-2.859270346
KKPbFClBrI,Li+,-3.444413229
KKPbFClBrI,Zn2+,2.552047621
KKPbFClBrI,K+,-2.331571839
KKPbFClBrI,Na+,-1.362751139
KKPbFClBrI,Al3+,2.429278496
KKPbFClBrI,Ca2+,-3.973729689
KKPbFClBrI,Mg2+,0.105345971
KKPbFClBrI,F-,-4.872037589
CsCsSnBrBrII,Li+,-3.934522116
CsCsSnBrBrII,Zn2+,0.108469229
CsCsSnBrBrII,K+,-3.26764264
CsCsSnBrBrII,Na+,-2.247644908
CsCsSnBrBrII,Al3+,-1.415285486
CsCsSnBrBrII,Ca2+,-5.639158285
CsCsSnBrBrII,Mg2+,-1.380906183
CsCsSnBrBrII,F-,-3.346974842
RbRbPbFFFI,Li+,-3.250257958
RbRbPbFFFI,Zn2+,3.129072044
RbRbPbFFFI,K+,-2.325444356
RbRbPbFFFI,Na+,-0.869292146
RbRbPbFFFI,Al3+,3.775128238
RbRbPbFFFI,Ca2+,-4.879069356
RbRbPbFFFI,Mg2+,0.859406284
RbRbPbFFFI,F-,-5.875584966
RbRbSnClClII,Li+,-3.574710121
RbRbSnClClII,Zn2+,1.104392957
RbRbSnClClII,K+,-2.804136192
RbRbSnClClII,Na+,-1.934355555
RbRbSnClClII,Al3+,-0.151068757
RbRbSnClClII,Ca2+,-4.757395404
RbRbSnClClII,Mg2+,-0.461999655
RbRbSnClClII,F-,-4.003943443
