Name,Ion,Adsorption energy(ev)
LiLiGeClClClCl,Mg2+,0.736065132
LiLiGeClClClCl,F-,-9.31851394
NaNaGeClClClCl,Li+,-3.42729406
NaNaGeClClClCl,Zn2+,3.320645807
NaNaGeClClClCl,K+,-3.148156847
NaNaGeClClClCl,Na+,-1.638127123
NaNaGeClClClCl,Al3+,2.743092896
NaNaGeClClClCl,Ca2+,-2.166247802
NaNaGeClClClCl,Mg2+,1.335308003
NaNaGeClClClCl,F-,-6.828724471
KKGeClClClCl,Li+,-3.065609443
KKGeClClClCl,Zn2+,2.939546259
KKGeClClClCl,K+,-2.328286464
KKGeClClClCl,Na+,-1.588413507
KKGeClClClCl,Al3+,1.604891496
KKGeClClClCl,Ca2+,-3.078479652
KKGeClClClCl,Mg2+,1.047394725
KKGeClClClCl,F-,-5.213970046
RbRbGeClClClCl,Li+,-3.194760603
RbRbGeClClClCl,Zn2+,2.467942862
RbRbGeClClClCl,K+,-2.477235817
RbRbGeClClClCl,Na+,-1.430853602
RbRbGeClClClCl,Al3+,0.916937753
RbRbGeClClClCl,Ca2+,-3.469620368
RbRbGeClClClCl,Mg2+,0.647958628
RbRbGeClClClCl,F-,-4.935473795
CsCsGeClClClCl,Li+,-3.46912126
CsCsGeClClClCl,Zn2+,1.810990162
CsCsGeClClClCl,K+,-2.696562842
CsCsGeClClClCl,Na+,-1.730756807
CsCsGeClClClCl,Al3+,-0.18753179
CsCsGeClClClCl,Ca2+,-4.141104151
CsCsGeClClClCl,Mg2+,-0.024211503
CsCsGeClClClCl,F-,-4.50841377
LiLiSnClClClCl,Li+,-3.570627906
LiLiSnClClClCl,Zn2+,4.102531588
LiLiSnClClClCl,K+,-4.083767235
LiLiSnClClClCl,Na+,-2.903680973
LiLiSnClClClCl,Al3+,3.74102164
LiLiSnClClClCl,Ca2+,-3.452336443
LiLiSnClClClCl,Mg2+,0.8978442
LiLiSnClClClCl,F-,-6.737654772
NaNaSnClClClCl,Li+,-3.558440376
NaNaSnClClClCl,Zn2+,3.073435172
NaNaSnClClClCl,K+,-2.712853055
NaNaSnClClClCl,Na+,-1.082114588
NaNaSnClClClCl,Al3+,2.897858813
NaNaSnClClClCl,Ca2+,-3.333193544
NaNaSnClClClCl,Mg2+,1.44977902
NaNaSnClClClCl,F-,-7.033810301
KKSnClClClCl,Li+,-2.785538001
KKSnClClClCl,Zn2+,2.789252478
KKSnClClClCl,K+,-2.005222748
