,unstable_Element_1,unstable_Element_2,unstable_Element_3,unstable_Element_4,unstable_Element_5,unstable_Element_6,unstable_Element_7,unstable_ion
546,0.42468417,0.42468417,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.28220642
547,0.42468417,0.42468417,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.3616813
548,0.42468417,0.42468417,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.23554452
549,0.42468417,0.42468417,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.27205002
550,0.42468417,0.42468417,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.28138033
551,0.42468417,0.42468417,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.17255755
552,0.3616813,0.3616813,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.42468417
553,0.3616813,0.3616813,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.28466654
554,0.3616813,0.3616813,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.28220642
555,0.3616813,0.3616813,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.3616813
556,0.3616813,0.3616813,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.23554452
557,0.3616813,0.3616813,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.27205002
558,0.3616813,0.3616813,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.28138033
559,0.3616813,0.3616813,0.28992674,0.22166106,0.22166106,0.22166106,0.23384291,0.17255755
560,0.42468417,0.42468417,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.42468417
561,0.42468417,0.42468417,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.28466654
562,0.42468417,0.42468417,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.28220642
563,0.42468417,0.42468417,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.3616813
564,0.42468417,0.42468417,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.23554452
565,0.42468417,0.42468417,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.27205002
566,0.42468417,0.42468417,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.28138033
567,0.42468417,0.42468417,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.17255755
568,0.3616813,0.3616813,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.42468417
569,0.3616813,0.3616813,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.28466654
