ion
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
Li
Zn
K
Na
Al
Ca
Mg
F
