Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
167.0,167.0,119,196.0,196.0,196.0,196.0
167.0,167.0,119,196.0,196.0,196.0,196.0
167.0,167.0,119,196.0,196.0,196.0,196.0
167.0,167.0,119,196.0,196.0,196.0,196.0
167.0,167.0,119,196.0,196.0,196.0,196.0
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
152.0,152.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
138.0,138.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
