,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,Ion NumberofProtons,Ion Specific Heat,Ion Density,Ion AtomicRadius,Ion Firstlonization,Ion AtomicMass,Ion Melting Point,Adsorption energy(ev)
0,22.28571429,65.57142857,36.89795918,51.842,44.388,313.4842857,162.1534694,115.7142857,15.67346939,2.418571429,0.847346939,22.7552381,3.521088435,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
1,14.0,65.14285714,36.08163265,30.15253545,13.65369403,326.4628571,278.2146939,103.5714286,40.36734694,2.71,1.217142857,19.30166667,8.223571429,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
2,22.28571429,65.57142857,36.89795918,51.842,44.388,313.4842857,162.1534694,115.7142857,15.67346939,2.418571429,0.847346939,22.7552381,3.521088435,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
3,17.71428571,65.0,36.57142857,42.43937326,47.07446478,245.9985714,219.9983673,90.0,37.71428571,2.887142857,1.248979592,14.30380952,5.25292517,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
4,20.0,65.28571429,36.16326531,47.02473591,45.76436117,222.3357143,192.955102,100.8571429,50.12244898,2.872857143,1.265306122,17.91809524,9.383537415,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
5,14.0,65.14285714,36.08163265,30.15253545,13.65369403,326.4628571,278.2146939,103.5714286,40.36734694,2.71,1.217142857,19.30166667,8.223571429,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
6,17.42857143,65.57142857,35.75510204,37.10562949,11.29134616,333.5228571,252.5404082,120.5714286,47.10204082,2.561428571,1.152653061,33.94690476,22.3770068,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
7,24.57142857,65.85714286,36.48979592,56.42736265,43.07789639,289.8214286,135.1102041,126.5714286,28.08163265,2.404285714,0.863673469,26.36952381,2.139455782,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
8,22.28571429,65.57142857,35.75510204,51.62717326,44.44937907,212.5242857,181.7420408,111.4285714,62.20408163,2.841428571,1.30122449,30.45047619,24.37496599,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
9,24.0,65.85714286,35.34693878,54.35354423,30.3044066,323.2314286,253.762449,121.5714286,56.24489796,2.65,1.228571429,37.57892857,30.3677551,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
10,24.0,65.85714286,35.34693878,54.35354423,30.3044066,323.2314286,253.762449,121.5714286,56.24489796,2.65,1.228571429,37.57892857,30.3677551,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
11,17.71428571,65.42857143,36.81632653,39.20057143,22.71697959,299.8371429,146.5567347,114.7142857,14.53061224,2.365714286,0.907755102,23.49452381,3.943537415,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
12,13.14285714,64.85714286,36.48979592,29.79794469,25.40344438,232.3514286,204.4016327,89.0,36.57142857,2.834285714,1.309387755,15.04309524,6.097823129,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
13,13.14285714,64.85714286,36.48979592,29.79794469,25.40344438,232.3514286,204.4016327,89.0,36.57142857,2.834285714,1.309387755,15.04309524,6.097823129,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
14,26.85714286,66.14285714,36.08163265,61.0298,41.76291429,280.01,123.8971429,137.1428571,40.16326531,2.372857143,0.899591837,38.90190476,19.54557823,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
15,27.42857143,65.85714286,35.34693878,64.87560183,52.43108415,205.6471429,173.882449,116.2857143,67.75510204,2.841428571,1.30122449,35.48357143,31.56510204,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
16,25.42857143,65.85714286,37.06122449,58.01971429,29.18783673,454.5685714,216.237551,122.2857143,3.265306122,2.258571429,0.801632653,24.87309524,5.265034014,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
17,20.28571429,65.57142857,36.89795918,45.55071429,30.71787755,313.2942857,135.0220408,117.2857143,13.10204082,2.337142857,0.883265306,24.20630952,4.350272109,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
18,15.14285714,65.28571429,36.73469388,32.61914286,14.67322449,400.74,261.8742857,112.0,11.42857143,2.372857143,0.899591837,22.02595238,3.104353742,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
19,33.71428571,66.28571429,35.59183673,80.29075423,52.53630088,253.2685714,171.2302041,128.0,60.85714286,2.652857143,1.139591837,40.24178571,29.63846939,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
20,17.71428571,65.42857143,36.81632653,39.20057143,22.71697959,299.8371429,146.5567347,114.7142857,14.53061224,2.365714286,0.907755102,23.49452381,3.943537415,13,0.897,2.7,1.8,5.9858,26.982,933.4,0
21,17.42857143,65.57142857,35.75510204,37.10562949,11.29134616,333.5228571,252.5404082,120.5714286,47.10204082,2.561428571,1.152653061,33.94690476,22.3770068,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
22,22.28571429,65.57142857,36.89795918,51.842,44.388,313.4842857,162.1534694,115.7142857,15.67346939,2.418571429,0.847346939,22.7552381,3.521088435,12,1.023,1.74,1.7,7.6462,24.305,923.15,0
23,11.71428571,64.85714286,36.48979592,25.5671728,16.27390126,350.1257143,305.2579592,92.71428571,30.6122449,2.724285714,1.200816327,15.68738095,5.125612245,30,0.388,7.13,1.5,9.3942,65.38,692.88,0
