A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Adsorption energy(ev)
55,55,82,35,35,35,35,30,78,78,125,45,45,45,45,35,6,6,6,4,4,4,4,4,0.242,0.242,0.129,0.474,0.474,0.474,0.474,0.388,1.87,1.87,11.3,3.12,3.12,3.12,3.12,7.13,3.3,3.3,1.8,1.1,1.1,1.1,1.1,1.5,3.8939,3.8939,7.4167,11.8138,11.8138,11.8138,11.8138,9.3942,132.905,132.905,207.2,79.904,79.904,79.904,79.904,65.38,301.7,301.7,600.75,266.05,266.05,266.05,266.05,692.88,0
19,19,32,9,9,18,18,12,20,20,41,10,10,18,18,12,4,4,4,2,2,3,3,3,0.757,0.757,0.32,0.824,0.824,0.479,0.479,1.023,0.862,0.862,5.32,0.0017,0.0017,0.00321,0.00321,1.74,2.8,2.8,1.5,0.57,0.57,0.97,0.97,1.7,4.3407,4.3407,7.8994,17.4228,17.4228,12.9676,12.9676,7.6462,39.098,39.098,72.64,18.998,18.998,35.453,35.453,24.305,336.5,336.5,1211.45,53.63,53.63,172.31,172.31,923.15,0
37,37,32,18,18,18,18,12,48,48,41,18,18,18,18,12,5,5,4,3,3,3,3,3,0.363,0.363,0.32,0.479,0.479,0.479,0.479,1.023,1.53,1.53,5.32,0.00321,0.00321,0.00321,0.00321,1.74,3,3,1.5,0.97,0.97,0.97,0.97,1.7,4.1771,4.1771,7.8994,12.9676,12.9676,12.9676,12.9676,7.6462,85.468,85.468,72.64,35.453,35.453,35.453,35.453,24.305,312.79,312.79,1211.45,172.31,172.31,172.31,172.31,923.15,0
37,37,32,9,9,9,9,30,48,48,41,10,10,10,10,35,5,5,4,2,2,2,2,4,0.363,0.363,0.32,0.824,0.824,0.824,0.824,0.388,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,7.13,3,3,1.5,0.57,0.57,0.57,0.57,1.5,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,9.3942,85.468,85.468,72.64,18.998,18.998,18.998,18.998,65.38,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,692.88,0
19,19,32,35,35,35,35,12,20,20,41,45,45,45,45,12,4,4,4,4,4,4,4,3,0.757,0.757,0.32,0.474,0.474,0.474,0.474,1.023,0.862,0.862,5.32,3.12,3.12,3.12,3.12,1.74,2.8,2.8,1.5,1.1,1.1,1.1,1.1,1.7,4.3407,4.3407,7.8994,11.8138,11.8138,11.8138,11.8138,7.6462,39.098,39.098,72.64,79.904,79.904,79.904,79.904,24.305,336.5,336.5,1211.45,266.05,266.05,266.05,266.05,923.15,0
19,19,32,53,53,53,53,30,20,20,41,74,74,74,74,35,4,4,4,5,5,5,5,4,0.757,0.757,0.32,0.214,0.214,0.214,0.214,0.388,0.862,0.862,5.32,4.93,4.93,4.93,4.93,7.13,2.8,2.8,1.5,1.3,1.3,1.3,1.3,1.5,4.3407,4.3407,7.8994,10.4513,10.4513,10.4513,10.4513,9.3942,39.098,39.098,72.64,126.904,126.904,126.904,126.904,65.38,336.5,336.5,1211.45,386.65,386.65,386.65,386.65,692.88,0
3,3,82,35,35,35,35,13,4,4,125,45,45,45,45,14,2,2,6,4,4,4,4,3,3.582,3.582,0.129,0.474,0.474,0.474,0.474,0.897,0.534,0.534,11.3,3.12,3.12,3.12,3.12,2.7,2.1,2.1,1.8,1.1,1.1,1.1,1.1,1.8,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,11.8138,5.9858,6.941,6.941,207.2,79.904,79.904,79.904,79.904,26.982,453.85,453.85,600.75,266.05,266.05,266.05,266.05,933.4,0
3,19,50,35,35,35,35,12,4,20,69,45,45,45,45,12,2,4,5,4,4,4,4,3,3.582,0.757,0.228,0.474,0.474,0.474,0.474,1.023,0.534,0.862,7.29,3.12,3.12,3.12,3.12,1.74,2.1,2.8,1.7,1.1,1.1,1.1,1.1,1.7,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,7.6462,6.941,39.098,118.71,79.904,79.904,79.904,79.904,24.305,453.85,336.5,505.21,266.05,266.05,266.05,266.05,923.15,0
11,11,32,9,9,9,18,11,12,12,41,10,10,10,18,12,3,3,4,2,2,2,3,3,1.228,1.228,0.32,0.824,0.824,0.824,0.479,1.228,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.00321,0.971,2.2,2.2,1.5,0.57,0.57,0.57,0.97,2.2,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,12.9676,5.1391,22.99,22.99,72.64,18.998,18.998,18.998,35.453,22.99,371.15,371.15,1211.45,53.63,53.63,53.63,172.31,371.15,0
37,37,50,18,18,18,18,12,48,48,69,18,18,18,18,12,5,5,5,3,3,3,3,3,0.363,0.363,0.228,0.479,0.479,0.479,0.479,1.023,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,1.74,3,3,1.7,0.97,0.97,0.97,0.97,1.7,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,7.6462,85.468,85.468,118.71,35.453,35.453,35.453,35.453,24.305,312.79,312.79,505.21,172.31,172.31,172.31,172.31,923.15,0
37,37,32,53,53,53,53,30,48,48,41,74,74,74,74,35,5,5,4,5,5,5,5,4,0.363,0.363,0.32,0.214,0.214,0.214,0.214,0.388,1.53,1.53,5.32,4.93,4.93,4.93,4.93,7.13,3,3,1.5,1.3,1.3,1.3,1.3,1.5,4.1771,4.1771,7.8994,10.4513,10.4513,10.4513,10.4513,9.3942,85.468,85.468,72.64,126.904,126.904,126.904,126.904,65.38,312.79,312.79,1211.45,386.65,386.65,386.65,386.65,692.88,0
3,3,50,18,18,18,35,12,4,4,69,18,18,18,45,12,2,2,5,3,3,3,4,3,3.582,3.582,0.228,0.479,0.479,0.479,0.474,1.023,0.534,0.534,7.29,0.00321,0.00321,0.00321,3.12,1.74,2.1,2.1,1.7,0.97,0.97,0.97,1.1,1.7,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,11.8138,7.6462,6.941,6.941,118.71,35.453,35.453,35.453,79.904,24.305,453.85,453.85,505.21,172.31,172.31,172.31,266.05,923.15,0
3,3,50,35,35,35,35,12,4,4,69,45,45,45,45,12,2,2,5,4,4,4,4,3,3.582,3.582,0.228,0.474,0.474,0.474,0.474,1.023,0.534,0.534,7.29,3.12,3.12,3.12,3.12,1.74,2.1,2.1,1.7,1.1,1.1,1.1,1.1,1.7,5.3917,5.3917,7.3439,11.8138,11.8138,11.8138,11.8138,7.6462,6.941,6.941,118.71,79.904,79.904,79.904,79.904,24.305,453.85,453.85,505.21,266.05,266.05,266.05,266.05,923.15,0
11,11,82,18,18,18,18,12,12,12,125,18,18,18,18,12,3,3,6,3,3,3,3,3,1.228,1.228,0.129,0.479,0.479,0.479,0.479,1.023,0.971,0.971,11.3,0.00321,0.00321,0.00321,0.00321,1.74,2.2,2.2,1.8,0.97,0.97,0.97,0.97,1.7,5.1391,5.1391,7.4167,12.9676,12.9676,12.9676,12.9676,7.6462,22.99,22.99,207.2,35.453,35.453,35.453,35.453,24.305,371.15,371.15,600.75,172.31,172.31,172.31,172.31,923.15,0
3,11,32,9,9,9,9,30,4,12,41,10,10,10,10,35,2,3,4,2,2,2,2,4,3.582,1.228,0.32,0.824,0.824,0.824,0.824,0.388,0.534,0.971,5.32,0.0017,0.0017,0.0017,0.0017,7.13,2.1,2.2,1.5,0.57,0.57,0.57,0.57,1.5,5.3917,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,9.3942,6.941,22.99,72.64,18.998,18.998,18.998,18.998,65.38,453.85,371.15,1211.45,53.63,53.63,53.63,53.63,692.88,0
37,37,32,35,35,35,35,13,48,48,41,45,45,45,45,14,5,5,4,4,4,4,4,3,0.363,0.363,0.32,0.474,0.474,0.474,0.474,0.897,1.53,1.53,5.32,3.12,3.12,3.12,3.12,2.7,3,3,1.5,1.1,1.1,1.1,1.1,1.8,4.1771,4.1771,7.8994,11.8138,11.8138,11.8138,11.8138,5.9858,85.468,85.468,72.64,79.904,79.904,79.904,79.904,26.982,312.79,312.79,1211.45,266.05,266.05,266.05,266.05,933.4,0
3,3,82,35,35,35,35,12,4,4,125,45,45,45,45,12,2,2,6,4,4,4,4,3,3.582,3.582,0.129,0.474,0.474,0.474,0.474,1.023,0.534,0.534,11.3,3.12,3.12,3.12,3.12,1.74,2.1,2.1,1.8,1.1,1.1,1.1,1.1,1.7,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,11.8138,7.6462,6.941,6.941,207.2,79.904,79.904,79.904,79.904,24.305,453.85,453.85,600.75,266.05,266.05,266.05,266.05,923.15,0
3,3,82,53,53,53,53,30,4,4,125,74,74,74,74,35,2,2,6,5,5,5,5,4,3.582,3.582,0.129,0.214,0.214,0.214,0.214,0.388,0.534,0.534,11.3,4.93,4.93,4.93,4.93,7.13,2.1,2.1,1.8,1.3,1.3,1.3,1.3,1.5,5.3917,5.3917,7.4167,10.4513,10.4513,10.4513,10.4513,9.3942,6.941,6.941,207.2,126.904,126.904,126.904,126.904,65.38,453.85,453.85,600.75,386.65,386.65,386.65,386.65,692.88,0
3,3,32,9,9,9,9,30,4,4,41,10,10,10,10,35,2,2,4,2,2,2,2,4,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.388,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,7.13,2.1,2.1,1.5,0.57,0.57,0.57,0.57,1.5,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,9.3942,6.941,6.941,72.64,18.998,18.998,18.998,18.998,65.38,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,692.88,0
37,37,50,35,35,35,35,13,48,48,69,45,45,45,45,14,5,5,5,4,4,4,4,3,0.363,0.363,0.228,0.474,0.474,0.474,0.474,0.897,1.53,1.53,7.29,3.12,3.12,3.12,3.12,2.7,3,3,1.7,1.1,1.1,1.1,1.1,1.8,4.1771,4.1771,7.3439,11.8138,11.8138,11.8138,11.8138,5.9858,85.468,85.468,118.71,79.904,79.904,79.904,79.904,26.982,312.79,312.79,505.21,266.05,266.05,266.05,266.05,933.4,0
19,19,50,53,53,53,53,30,20,20,69,74,74,74,74,35,4,4,5,5,5,5,5,4,0.757,0.757,0.228,0.214,0.214,0.214,0.214,0.388,0.862,0.862,7.29,4.93,4.93,4.93,4.93,7.13,2.8,2.8,1.7,1.3,1.3,1.3,1.3,1.5,4.3407,4.3407,7.3439,10.4513,10.4513,10.4513,10.4513,9.3942,39.098,39.098,118.71,126.904,126.904,126.904,126.904,65.38,336.5,336.5,505.21,386.65,386.65,386.65,386.65,692.88,0
19,19,82,53,53,53,53,30,20,20,125,74,74,74,74,35,4,4,6,5,5,5,5,4,0.757,0.757,0.129,0.214,0.214,0.214,0.214,0.388,0.862,0.862,11.3,4.93,4.93,4.93,4.93,7.13,2.8,2.8,1.8,1.3,1.3,1.3,1.3,1.5,4.3407,4.3407,7.4167,10.4513,10.4513,10.4513,10.4513,9.3942,39.098,39.098,207.2,126.904,126.904,126.904,126.904,65.38,336.5,336.5,600.75,386.65,386.65,386.65,386.65,692.88,0
37,37,82,18,18,18,18,12,48,48,125,18,18,18,18,12,5,5,6,3,3,3,3,3,0.363,0.363,0.129,0.479,0.479,0.479,0.479,1.023,1.53,1.53,11.3,0.00321,0.00321,0.00321,0.00321,1.74,3,3,1.8,0.97,0.97,0.97,0.97,1.7,4.1771,4.1771,7.4167,12.9676,12.9676,12.9676,12.9676,7.6462,85.468,85.468,207.2,35.453,35.453,35.453,35.453,24.305,312.79,312.79,600.75,172.31,172.31,172.31,172.31,923.15,0
55,55,82,35,35,35,35,13,78,78,125,45,45,45,45,14,6,6,6,4,4,4,4,3,0.242,0.242,0.129,0.474,0.474,0.474,0.474,0.897,1.87,1.87,11.3,3.12,3.12,3.12,3.12,2.7,3.3,3.3,1.8,1.1,1.1,1.1,1.1,1.8,3.8939,3.8939,7.4167,11.8138,11.8138,11.8138,11.8138,5.9858,132.905,132.905,207.2,79.904,79.904,79.904,79.904,26.982,301.7,301.7,600.75,266.05,266.05,266.05,266.05,933.4,0
19,19,50,35,35,35,35,12,20,20,69,45,45,45,45,12,4,4,5,4,4,4,4,3,0.757,0.757,0.228,0.474,0.474,0.474,0.474,1.023,0.862,0.862,7.29,3.12,3.12,3.12,3.12,1.74,2.8,2.8,1.7,1.1,1.1,1.1,1.1,1.7,4.3407,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,7.6462,39.098,39.098,118.71,79.904,79.904,79.904,79.904,24.305,336.5,336.5,505.21,266.05,266.05,266.05,266.05,923.15,0
3,3,82,35,35,35,53,12,4,4,125,45,45,45,74,12,2,2,6,4,4,4,5,3,3.582,3.582,0.129,0.474,0.474,0.474,0.214,1.023,0.534,0.534,11.3,3.12,3.12,3.12,4.93,1.74,2.1,2.1,1.8,1.1,1.1,1.1,1.3,1.7,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,10.4513,7.6462,6.941,6.941,207.2,79.904,79.904,79.904,126.904,24.305,453.85,453.85,600.75,266.05,266.05,266.05,386.65,923.15,0
37,37,32,35,35,35,35,12,48,48,41,45,45,45,45,12,5,5,4,4,4,4,4,3,0.363,0.363,0.32,0.474,0.474,0.474,0.474,1.023,1.53,1.53,5.32,3.12,3.12,3.12,3.12,1.74,3,3,1.5,1.1,1.1,1.1,1.1,1.7,4.1771,4.1771,7.8994,11.8138,11.8138,11.8138,11.8138,7.6462,85.468,85.468,72.64,79.904,79.904,79.904,79.904,24.305,312.79,312.79,1211.45,266.05,266.05,266.05,266.05,923.15,0
37,37,82,9,9,9,9,12,48,48,125,10,10,10,10,12,5,5,6,2,2,2,2,3,0.363,0.363,0.129,0.824,0.824,0.824,0.824,1.023,1.53,1.53,11.3,0.0017,0.0017,0.0017,0.0017,1.74,3,3,1.8,0.57,0.57,0.57,0.57,1.7,4.1771,4.1771,7.4167,17.4228,17.4228,17.4228,17.4228,7.6462,85.468,85.468,207.2,18.998,18.998,18.998,18.998,24.305,312.79,312.79,600.75,53.63,53.63,53.63,53.63,923.15,0
55,55,82,9,9,9,9,12,78,78,125,10,10,10,10,12,6,6,6,2,2,2,2,3,0.242,0.242,0.129,0.824,0.824,0.824,0.824,1.023,1.87,1.87,11.3,0.0017,0.0017,0.0017,0.0017,1.74,3.3,3.3,1.8,0.57,0.57,0.57,0.57,1.7,3.8939,3.8939,7.4167,17.4228,17.4228,17.4228,17.4228,7.6462,132.905,132.905,207.2,18.998,18.998,18.998,18.998,24.305,301.7,301.7,600.75,53.63,53.63,53.63,53.63,923.15,0
3,3,82,35,35,35,53,13,4,4,125,45,45,45,74,14,2,2,6,4,4,4,5,3,3.582,3.582,0.129,0.474,0.474,0.474,0.214,0.897,0.534,0.534,11.3,3.12,3.12,3.12,4.93,2.7,2.1,2.1,1.8,1.1,1.1,1.1,1.3,1.8,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,10.4513,5.9858,6.941,6.941,207.2,79.904,79.904,79.904,126.904,26.982,453.85,453.85,600.75,266.05,266.05,266.05,386.65,933.4,0
3,3,50,53,53,53,53,12,4,4,69,74,74,74,74,12,2,2,5,5,5,5,5,3,3.582,3.582,0.228,0.214,0.214,0.214,0.214,1.023,0.534,0.534,7.29,4.93,4.93,4.93,4.93,1.74,2.1,2.1,1.7,1.3,1.3,1.3,1.3,1.7,5.3917,5.3917,7.3439,10.4513,10.4513,10.4513,10.4513,7.6462,6.941,6.941,118.71,126.904,126.904,126.904,126.904,24.305,453.85,453.85,505.21,386.65,386.65,386.65,386.65,923.15,0
55,55,50,35,35,53,53,30,78,78,69,45,45,74,74,35,6,6,5,4,4,5,5,4,0.242,0.242,0.228,0.474,0.474,0.214,0.214,0.388,1.87,1.87,7.29,3.12,3.12,4.93,4.93,7.13,3.3,3.3,1.7,1.1,1.1,1.3,1.3,1.5,3.8939,3.8939,7.3439,11.8138,11.8138,10.4513,10.4513,9.3942,132.905,132.905,118.71,79.904,79.904,126.904,126.904,65.38,301.7,301.7,505.21,266.05,266.05,386.65,386.65,692.88,0
19,19,82,9,18,35,53,12,20,20,125,10,18,45,74,12,4,4,6,2,3,4,5,3,0.757,0.757,0.129,0.824,0.479,0.474,0.214,1.023,0.862,0.862,11.3,0.0017,0.00321,3.12,4.93,1.74,2.8,2.8,1.8,0.57,0.97,1.1,1.3,1.7,4.3407,4.3407,7.4167,17.4228,12.9676,11.8138,10.4513,7.6462,39.098,39.098,207.2,18.998,35.453,79.904,126.904,24.305,336.5,336.5,600.75,53.63,266.05,266.05,386.65,923.15,0
19,19,50,35,35,53,18,12,20,20,69,45,45,74,18,12,4,4,5,4,4,5,3,3,0.757,0.757,0.228,0.474,0.474,0.214,0.479,1.023,0.862,0.862,7.29,3.12,3.12,4.93,0.00321,1.74,2.8,2.8,1.7,1.1,1.1,1.3,0.97,1.7,4.3407,4.3407,7.3439,11.8138,11.8138,10.4513,12.9676,7.6462,39.098,39.098,118.71,79.904,79.904,126.904,35.453,24.305,336.5,336.5,505.21,266.05,266.05,386.65,172.31,923.15,0
37,37,50,53,53,53,53,30,48,48,69,74,74,74,74,35,5,5,5,5,5,5,5,4,0.363,0.363,0.228,0.214,0.214,0.214,0.214,0.388,1.53,1.53,7.29,4.93,4.93,4.93,4.93,7.13,3,3,1.7,1.3,1.3,1.3,1.3,1.5,4.1771,4.1771,7.3439,10.4513,10.4513,10.4513,10.4513,9.3942,85.468,85.468,118.71,126.904,126.904,126.904,126.904,65.38,312.79,312.79,505.21,386.65,386.65,386.65,386.65,692.88,0
55,55,50,18,18,18,18,13,78,78,69,18,18,18,18,14,6,6,5,3,3,3,3,3,0.242,0.242,0.228,0.479,0.479,0.479,0.479,0.897,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,2.7,3.3,3.3,1.7,0.97,0.97,0.97,0.97,1.8,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,132.905,132.905,118.71,35.453,35.453,35.453,35.453,26.982,301.7,301.7,505.21,172.31,172.31,172.31,172.31,933.4,0
55,55,32,18,18,18,18,12,78,78,41,18,18,18,18,12,6,6,4,3,3,3,3,3,0.242,0.242,0.32,0.479,0.479,0.479,0.479,1.023,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,1.74,3.3,3.3,1.5,0.97,0.97,0.97,0.97,1.7,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,7.6462,132.905,132.905,72.64,35.453,35.453,35.453,35.453,24.305,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,923.15,1
11,11,32,53,53,53,53,12,12,12,41,74,74,74,74,12,3,3,4,5,5,5,5,3,1.228,1.228,0.32,0.214,0.214,0.214,0.214,1.023,0.971,0.971,5.32,4.93,4.93,4.93,4.93,1.74,2.2,2.2,1.5,1.3,1.3,1.3,1.3,1.7,5.1391,5.1391,7.8994,10.4513,10.4513,10.4513,10.4513,7.6462,22.99,22.99,72.64,126.904,126.904,126.904,126.904,24.305,371.15,371.15,1211.45,386.65,386.65,386.65,386.65,923.15,1
19,19,32,53,53,53,53,13,20,20,41,74,74,74,74,14,4,4,4,5,5,5,5,3,0.757,0.757,0.32,0.214,0.214,0.214,0.214,0.897,0.862,0.862,5.32,4.93,4.93,4.93,4.93,2.7,2.8,2.8,1.5,1.3,1.3,1.3,1.3,1.8,4.3407,4.3407,7.8994,10.4513,10.4513,10.4513,10.4513,5.9858,39.098,39.098,72.64,126.904,126.904,126.904,126.904,26.982,336.5,336.5,1211.45,386.65,386.65,386.65,386.65,933.4,1
19,19,82,35,35,35,35,12,20,20,125,45,45,45,45,12,4,4,6,4,4,4,4,3,0.757,0.757,0.129,0.474,0.474,0.474,0.474,1.023,0.862,0.862,11.3,3.12,3.12,3.12,3.12,1.74,2.8,2.8,1.8,1.1,1.1,1.1,1.1,1.7,4.3407,4.3407,7.4167,11.8138,11.8138,11.8138,11.8138,7.6462,39.098,39.098,207.2,79.904,79.904,79.904,79.904,24.305,336.5,336.5,600.75,266.05,266.05,266.05,266.05,923.15,1
55,55,32,53,53,53,53,30,78,78,41,74,74,74,74,35,6,6,4,5,5,5,5,4,0.242,0.242,0.32,0.214,0.214,0.214,0.214,0.388,1.87,1.87,5.32,4.93,4.93,4.93,4.93,7.13,3.3,3.3,1.5,1.3,1.3,1.3,1.3,1.5,3.8939,3.8939,7.8994,10.4513,10.4513,10.4513,10.4513,9.3942,132.905,132.905,72.64,126.904,126.904,126.904,126.904,65.38,301.7,301.7,1211.45,386.65,386.65,386.65,386.65,692.88,1
55,55,50,18,18,18,18,12,78,78,69,18,18,18,18,12,6,6,5,3,3,3,3,3,0.242,0.242,0.228,0.479,0.479,0.479,0.479,1.023,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,1.74,3.3,3.3,1.7,0.97,0.97,0.97,0.97,1.7,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,7.6462,132.905,132.905,118.71,35.453,35.453,35.453,35.453,24.305,301.7,301.7,505.21,172.31,172.31,172.31,172.31,923.15,1
37,37,82,53,53,53,53,30,48,48,125,74,74,74,74,35,5,5,6,5,5,5,5,4,0.363,0.363,0.129,0.214,0.214,0.214,0.214,0.388,1.53,1.53,11.3,4.93,4.93,4.93,4.93,7.13,3,3,1.8,1.3,1.3,1.3,1.3,1.5,4.1771,4.1771,7.4167,10.4513,10.4513,10.4513,10.4513,9.3942,85.468,85.468,207.2,126.904,126.904,126.904,126.904,65.38,312.79,312.79,600.75,386.65,386.65,386.65,386.65,692.88,1
37,37,50,35,35,35,35,12,48,48,69,45,45,45,45,12,5,5,5,4,4,4,4,3,0.363,0.363,0.228,0.474,0.474,0.474,0.474,1.023,1.53,1.53,7.29,3.12,3.12,3.12,3.12,1.74,3,3,1.7,1.1,1.1,1.1,1.1,1.7,4.1771,4.1771,7.3439,11.8138,11.8138,11.8138,11.8138,7.6462,85.468,85.468,118.71,79.904,79.904,79.904,79.904,24.305,312.79,312.79,505.21,266.05,266.05,266.05,266.05,923.15,1
37,37,50,18,18,53,53,13,48,48,69,18,18,74,74,14,5,5,5,3,3,5,5,3,0.363,0.363,0.228,0.479,0.479,0.214,0.214,0.897,1.53,1.53,7.29,0.00321,0.00321,4.93,4.93,2.7,3,3,1.7,0.97,0.97,1.3,1.3,1.8,4.1771,4.1771,7.3439,12.9676,12.9676,10.4513,10.4513,5.9858,85.468,85.468,118.71,35.453,35.453,126.904,126.904,26.982,312.79,312.79,505.21,266.05,266.05,386.65,386.65,933.4,1
19,37,82,35,35,35,35,12,20,48,125,45,45,45,45,12,4,5,6,4,4,4,4,3,0.757,0.363,0.129,0.474,0.474,0.474,0.474,1.023,0.862,1.53,11.3,3.12,3.12,3.12,3.12,1.74,2.8,3,1.8,1.1,1.1,1.1,1.1,1.7,4.3407,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,7.6462,39.098,85.468,207.2,79.904,79.904,79.904,79.904,24.305,336.5,312.79,600.75,266.05,266.05,266.05,266.05,923.15,1
55,55,32,18,18,18,18,13,78,78,41,18,18,18,18,14,6,6,4,3,3,3,3,3,0.242,0.242,0.32,0.479,0.479,0.479,0.479,0.897,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,2.7,3.3,3.3,1.5,0.97,0.97,0.97,0.97,1.8,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,5.9858,132.905,132.905,72.64,35.453,35.453,35.453,35.453,26.982,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,933.4,1
55,55,82,53,53,53,18,30,78,78,125,74,74,74,18,35,6,6,6,5,5,5,3,4,0.242,0.242,0.129,0.214,0.214,0.214,0.479,0.388,1.87,1.87,11.3,4.93,4.93,4.93,0.00321,7.13,3.3,3.3,1.8,1.3,1.3,1.3,0.97,1.5,3.8939,3.8939,7.4167,10.4513,10.4513,10.4513,12.9676,9.3942,132.905,132.905,207.2,126.904,126.904,126.904,35.453,65.38,301.7,301.7,600.75,386.65,386.65,386.65,172.31,692.88,1
37,37,32,9,9,9,35,12,48,48,41,10,10,10,45,12,5,5,4,2,2,2,4,3,0.363,0.363,0.32,0.824,0.824,0.824,0.474,1.023,1.53,1.53,5.32,0.0017,0.0017,0.0017,3.12,1.74,3,3,1.5,0.57,0.57,0.57,1.1,1.7,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,11.8138,7.6462,85.468,85.468,72.64,18.998,18.998,18.998,79.904,24.305,312.79,312.79,1211.45,53.63,53.63,53.63,266.05,923.15,1
3,3,32,53,53,53,53,12,4,4,41,74,74,74,74,12,2,2,4,5,5,5,5,3,3.582,3.582,0.32,0.214,0.214,0.214,0.214,1.023,0.534,0.534,5.32,4.93,4.93,4.93,4.93,1.74,2.1,2.1,1.5,1.3,1.3,1.3,1.3,1.7,5.3917,5.3917,7.8994,10.4513,10.4513,10.4513,10.4513,7.6462,6.941,6.941,72.64,126.904,126.904,126.904,126.904,24.305,453.85,453.85,1211.45,386.65,386.65,386.65,386.65,923.15,1
55,55,50,9,9,9,9,12,78,78,69,10,10,10,10,12,6,6,5,2,2,2,2,3,0.242,0.242,0.228,0.824,0.824,0.824,0.824,1.023,1.87,1.87,7.29,0.0017,0.0017,0.0017,0.0017,1.74,3.3,3.3,1.7,0.57,0.57,0.57,0.57,1.7,3.8939,3.8939,7.3439,17.4228,17.4228,17.4228,17.4228,7.6462,132.905,132.905,118.71,18.998,18.998,18.998,18.998,24.305,301.7,301.7,505.21,53.63,53.63,53.63,53.63,923.15,1
55,55,82,18,18,18,18,12,78,78,125,18,18,18,18,12,6,6,6,3,3,3,3,3,0.242,0.242,0.129,0.479,0.479,0.479,0.479,1.023,1.87,1.87,11.3,0.00321,0.00321,0.00321,0.00321,1.74,3.3,3.3,1.8,0.97,0.97,0.97,0.97,1.7,3.8939,3.8939,7.4167,12.9676,12.9676,12.9676,12.9676,7.6462,132.905,132.905,207.2,35.453,35.453,35.453,35.453,24.305,301.7,301.7,600.75,172.31,172.31,172.31,172.31,923.15,1
