,rechargeable_A1,rechargeable_A2,rechargeable_B,rechargeable_X1,rechargeable_X2,rechargeable_X3,rechargeable_X4
0,0.46346116,0.46346116,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
1,0.46346116,0.46346116,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
2,0.46346116,0.46346116,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
3,0.46346116,0.46346116,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
4,0.46346116,0.46346116,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
5,0.46346116,0.46346116,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
6,0.46346116,0.46346116,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
7,0.46346116,0.46346116,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
8,0.2117557,0.2117557,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
9,0.2117557,0.2117557,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
10,0.2117557,0.2117557,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
11,0.2117557,0.2117557,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
12,0.2117557,0.2117557,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
13,0.2117557,0.2117557,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
14,0.2117557,0.2117557,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
15,0.2117557,0.2117557,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
16,0.044375855,0.044375855,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
17,0.044375855,0.044375855,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
18,0.044375855,0.044375855,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
19,0.044375855,0.044375855,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
20,0.044375855,0.044375855,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
21,0.044375855,0.044375855,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
22,0.044375855,0.044375855,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
23,0.044375855,0.044375855,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
24,0.1542425,0.1542425,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
25,0.1542425,0.1542425,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
26,0.1542425,0.1542425,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
27,0.1542425,0.1542425,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
28,0.1542425,0.1542425,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
29,0.1542425,0.1542425,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
30,0.1542425,0.1542425,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
31,0.1542425,0.1542425,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
32,0.1643536,0.1643536,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
33,0.1643536,0.1643536,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
34,0.1643536,0.1643536,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
35,0.1643536,0.1643536,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
36,0.1643536,0.1643536,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
37,0.1643536,0.1643536,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
38,0.1643536,0.1643536,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
39,0.1643536,0.1643536,0.109965414,0.18243991,0.18243991,0.18243991,0.18243991
40,0.46346116,0.46346116,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
41,0.46346116,0.46346116,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
42,0.46346116,0.46346116,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
43,0.46346116,0.46346116,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
44,0.46346116,0.46346116,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
45,0.46346116,0.46346116,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
46,0.46346116,0.46346116,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
47,0.46346116,0.46346116,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
48,0.2117557,0.2117557,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
49,0.2117557,0.2117557,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
50,0.2117557,0.2117557,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
51,0.2117557,0.2117557,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
52,0.2117557,0.2117557,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
53,0.2117557,0.2117557,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
54,0.2117557,0.2117557,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
55,0.2117557,0.2117557,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
56,0.044375855,0.044375855,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
57,0.044375855,0.044375855,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
58,0.044375855,0.044375855,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
59,0.044375855,0.044375855,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
60,0.044375855,0.044375855,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
61,0.044375855,0.044375855,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
62,0.044375855,0.044375855,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
63,0.044375855,0.044375855,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
64,0.1542425,0.1542425,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
65,0.1542425,0.1542425,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
66,0.1542425,0.1542425,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
67,0.1542425,0.1542425,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
68,0.1542425,0.1542425,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
69,0.1542425,0.1542425,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
70,0.1542425,0.1542425,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
71,0.1542425,0.1542425,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
72,0.1643536,0.1643536,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
73,0.1643536,0.1643536,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
74,0.1643536,0.1643536,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
75,0.1643536,0.1643536,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
76,0.1643536,0.1643536,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
77,0.1643536,0.1643536,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
78,0.1643536,0.1643536,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
79,0.1643536,0.1643536,0.21559612,0.18243991,0.18243991,0.18243991,0.18243991
80,0.46346116,0.46346116,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
81,0.46346116,0.46346116,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
82,0.46346116,0.46346116,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
83,0.46346116,0.46346116,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
84,0.46346116,0.46346116,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
85,0.46346116,0.46346116,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
86,0.46346116,0.46346116,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
87,0.46346116,0.46346116,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
88,0.2117557,0.2117557,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
89,0.2117557,0.2117557,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
90,0.2117557,0.2117557,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
