,adsorption_A1,adsorption_A2,adsorption_B,adsorption_X1,adsorption_X2,adsorption_X3,adsorption_X4
0,0.19800851,0.19800851,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
1,0.19800851,0.19800851,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
2,0.19800851,0.19800851,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
3,0.19800851,0.19800851,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
4,0.19800851,0.19800851,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
5,0.19800851,0.19800851,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
6,0.19800851,0.19800851,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
7,0.19800851,0.19800851,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
8,0.2009516,0.2009516,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
9,0.2009516,0.2009516,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
10,0.2009516,0.2009516,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
11,0.2009516,0.2009516,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
12,0.2009516,0.2009516,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
13,0.2009516,0.2009516,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
14,0.2009516,0.2009516,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
15,0.2009516,0.2009516,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
16,0.28071553,0.28071553,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
17,0.28071553,0.28071553,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
18,0.28071553,0.28071553,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
19,0.28071553,0.28071553,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
20,0.28071553,0.28071553,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
21,0.28071553,0.28071553,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
22,0.28071553,0.28071553,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
23,0.28071553,0.28071553,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
24,0.121317625,0.121317625,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
25,0.121317625,0.121317625,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
26,0.121317625,0.121317625,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
27,0.121317625,0.121317625,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
28,0.121317625,0.121317625,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
29,0.121317625,0.121317625,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
30,0.121317625,0.121317625,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
31,0.121317625,0.121317625,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
32,0.30875275,0.30875275,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
33,0.30875275,0.30875275,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
34,0.30875275,0.30875275,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
35,0.30875275,0.30875275,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
36,0.30875275,0.30875275,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
37,0.30875275,0.30875275,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
38,0.30875275,0.30875275,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
39,0.30875275,0.30875275,0.12433383,0.17863989,0.17863989,0.17863989,0.17863989
40,0.19800851,0.19800851,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
41,0.19800851,0.19800851,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
42,0.19800851,0.19800851,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
43,0.19800851,0.19800851,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
44,0.19800851,0.19800851,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
45,0.19800851,0.19800851,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
46,0.19800851,0.19800851,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
47,0.19800851,0.19800851,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
48,0.2009516,0.2009516,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
49,0.2009516,0.2009516,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
50,0.2009516,0.2009516,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
51,0.2009516,0.2009516,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
52,0.2009516,0.2009516,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
53,0.2009516,0.2009516,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
54,0.2009516,0.2009516,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
