,stable_A1,stable_A2,stable_B,stable_X1,stable_X2,stable_X3,stable_X4
0,0.2238308,0.2238308,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
1,0.2238308,0.2238308,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
2,0.2238308,0.2238308,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
3,0.2238308,0.2238308,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
4,0.2238308,0.2238308,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
5,0.2238308,0.2238308,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
6,0.2238308,0.2238308,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
7,0.2238308,0.2238308,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
8,0.14539254,0.14539254,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
9,0.14539254,0.14539254,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
10,0.14539254,0.14539254,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
11,0.14539254,0.14539254,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
12,0.14539254,0.14539254,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
13,0.14539254,0.14539254,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
14,0.14539254,0.14539254,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
15,0.14539254,0.14539254,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
16,0.29319534,0.29319534,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
17,0.29319534,0.29319534,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
18,0.29319534,0.29319534,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
19,0.29319534,0.29319534,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
20,0.29319534,0.29319534,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
21,0.29319534,0.29319534,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
22,0.29319534,0.29319534,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
23,0.29319534,0.29319534,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
24,0.13239332,0.13239332,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
25,0.13239332,0.13239332,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
26,0.13239332,0.13239332,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
