,diffusion_A1,diffusion_A2,diffusion_B,diffusion_X1,diffusion_X2,diffusion_X3,diffusion_X4
0,0.18140548,0.18140548,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
1,0.18140548,0.18140548,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
2,0.18140548,0.18140548,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
3,0.18140548,0.18140548,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
4,0.18140548,0.18140548,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
5,0.18140548,0.18140548,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
6,0.18140548,0.18140548,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
7,0.18140548,0.18140548,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
8,0.11237182,0.11237182,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
9,0.11237182,0.11237182,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
10,0.11237182,0.11237182,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
11,0.11237182,0.11237182,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
12,0.11237182,0.11237182,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
13,0.11237182,0.11237182,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
14,0.11237182,0.11237182,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
15,0.11237182,0.11237182,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
16,0.24055302,0.24055302,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
17,0.24055302,0.24055302,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
18,0.24055302,0.24055302,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
19,0.24055302,0.24055302,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
20,0.24055302,0.24055302,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
21,0.24055302,0.24055302,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
22,0.24055302,0.24055302,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
23,0.24055302,0.24055302,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
24,0.05642998,0.05642998,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
25,0.05642998,0.05642998,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
26,0.05642998,0.05642998,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
27,0.05642998,0.05642998,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
28,0.05642998,0.05642998,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
29,0.05642998,0.05642998,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
30,0.05642998,0.05642998,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
31,0.05642998,0.05642998,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
32,0.09401211,0.09401211,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
33,0.09401211,0.09401211,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
34,0.09401211,0.09401211,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
35,0.09401211,0.09401211,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
36,0.09401211,0.09401211,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
37,0.09401211,0.09401211,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
38,0.09401211,0.09401211,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
39,0.09401211,0.09401211,0.11944788,0.12320607,0.12320607,0.12320607,0.12320607
40,0.18140548,0.18140548,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
41,0.18140548,0.18140548,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
42,0.18140548,0.18140548,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
43,0.18140548,0.18140548,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
44,0.18140548,0.18140548,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
45,0.18140548,0.18140548,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
46,0.18140548,0.18140548,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
47,0.18140548,0.18140548,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
48,0.11237182,0.11237182,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
49,0.11237182,0.11237182,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
50,0.11237182,0.11237182,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
51,0.11237182,0.11237182,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
52,0.11237182,0.11237182,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
53,0.11237182,0.11237182,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
54,0.11237182,0.11237182,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
55,0.11237182,0.11237182,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
56,0.24055302,0.24055302,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
57,0.24055302,0.24055302,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
58,0.24055302,0.24055302,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
59,0.24055302,0.24055302,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
60,0.24055302,0.24055302,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
61,0.24055302,0.24055302,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
62,0.24055302,0.24055302,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
63,0.24055302,0.24055302,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
64,0.05642998,0.05642998,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
65,0.05642998,0.05642998,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
