,unstable_A1,unstable_A2,unstable_B,unstable_X1,unstable_X2,unstable_X3,unstable_X4
0,0.13039161,0.13039161,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
1,0.13039161,0.13039161,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
2,0.13039161,0.13039161,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
3,0.13039161,0.13039161,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
4,0.13039161,0.13039161,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
5,0.13039161,0.13039161,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
6,0.13039161,0.13039161,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
7,0.13039161,0.13039161,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
8,0.08785469,0.08785469,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
9,0.08785469,0.08785469,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
10,0.08785469,0.08785469,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
11,0.08785469,0.08785469,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
12,0.08785469,0.08785469,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
13,0.08785469,0.08785469,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
14,0.08785469,0.08785469,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
15,0.08785469,0.08785469,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
16,0.18495333,0.18495333,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
17,0.18495333,0.18495333,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
18,0.18495333,0.18495333,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
19,0.18495333,0.18495333,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
20,0.18495333,0.18495333,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
21,0.18495333,0.18495333,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
22,0.18495333,0.18495333,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
23,0.18495333,0.18495333,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
24,0.13697362,0.13697362,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
25,0.13697362,0.13697362,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
26,0.13697362,0.13697362,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
27,0.13697362,0.13697362,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
28,0.13697362,0.13697362,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
29,0.13697362,0.13697362,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
30,0.13697362,0.13697362,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
31,0.13697362,0.13697362,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
32,0.12144525,0.12144525,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
33,0.12144525,0.12144525,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
34,0.12144525,0.12144525,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
35,0.12144525,0.12144525,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
36,0.12144525,0.12144525,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
37,0.12144525,0.12144525,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
38,0.12144525,0.12144525,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
39,0.12144525,0.12144525,0.17297927,0.1536212,0.1536212,0.1536212,0.1536212
40,0.13039161,0.13039161,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
