,intercalation_A1,intercalation_A2,intercalation_B,intercalation_X1,intercalation_X2,intercalation_X3,intercalation_X4
0,0.35971236,0.35971236,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
1,0.35971236,0.35971236,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
2,0.35971236,0.35971236,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
3,0.35971236,0.35971236,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
4,0.35971236,0.35971236,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
5,0.35971236,0.35971236,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
6,0.35971236,0.35971236,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
7,0.35971236,0.35971236,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
8,0.23392576,0.23392576,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
9,0.23392576,0.23392576,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
10,0.23392576,0.23392576,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
11,0.23392576,0.23392576,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
12,0.23392576,0.23392576,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
13,0.23392576,0.23392576,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
14,0.23392576,0.23392576,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
15,0.23392576,0.23392576,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
16,0.1273827,0.1273827,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
17,0.1273827,0.1273827,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
18,0.1273827,0.1273827,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
19,0.1273827,0.1273827,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
20,0.1273827,0.1273827,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
21,0.1273827,0.1273827,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
22,0.1273827,0.1273827,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
23,0.1273827,0.1273827,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
24,0.1626041,0.1626041,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
25,0.1626041,0.1626041,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
26,0.1626041,0.1626041,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
27,0.1626041,0.1626041,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
28,0.1626041,0.1626041,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
29,0.1626041,0.1626041,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
30,0.1626041,0.1626041,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
31,0.1626041,0.1626041,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
32,0.27493858,0.27493858,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
33,0.27493858,0.27493858,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
34,0.27493858,0.27493858,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
35,0.27493858,0.27493858,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
36,0.27493858,0.27493858,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
37,0.27493858,0.27493858,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
38,0.27493858,0.27493858,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
39,0.27493858,0.27493858,0.13079849,0.054247532,0.054247532,0.054247532,0.054247532
40,0.35971236,0.35971236,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
41,0.35971236,0.35971236,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
42,0.35971236,0.35971236,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
43,0.35971236,0.35971236,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
44,0.35971236,0.35971236,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
45,0.35971236,0.35971236,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
46,0.35971236,0.35971236,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
47,0.35971236,0.35971236,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
