,photo_A1,photo_A2,photo_B,photo_X1,photo_X2,photo_X3,photo_X4
0,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
1,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
2,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
3,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
4,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
5,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
6,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
7,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
8,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
9,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
10,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
11,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
12,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
13,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
14,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
15,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
16,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
17,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
18,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
19,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
20,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
21,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
22,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
23,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
24,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
25,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
26,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
27,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
28,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
29,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
30,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
31,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
