,A2 NumberofProtons,X4 NumberofNeutrons,Ion Specific Heat,Ion Density,X3 AtomicRadius,X4 Firstlonization,Ion Firstlonization,X2 AtomicMass,A1 Melting Point,X1 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Adsorption energy(ev)
221,19,45,1.228,0.971,1.1,11.8138,5.1391,79.904,453.85,266.05,371.15,-4903.262548,-6208.584277,1
222,11,45,1.228,0.971,0.97,11.8138,5.1391,35.453,371.15,172.31,371.15,-6396.420853,-7701.747094,1
223,3,10,1.023,1.74,0.57,17.4228,7.6462,18.998,453.85,53.63,923.15,-5099.530655,-6788.987394,1
224,55,18,1.023,1.74,0.97,12.9676,7.6462,35.453,336.5,172.31,923.15,-5314.29355,-7003.757404,1
225,19,74,1.023,1.74,1.3,10.4513,7.6462,126.904,336.5,386.65,923.15,-10203.06356,-11892.55069,1
226,19,45,1.228,0.971,1.1,11.8138,5.1391,79.904,336.5,266.05,371.15,-5982.225723,-7287.604085,1
227,11,74,1.023,1.74,1.1,10.4513,7.6462,79.904,371.15,266.05,923.15,-10232.14793,-11921.64752,1
228,55,18,1.228,0.971,0.97,12.9676,5.1391,35.453,336.5,172.31,371.15,-5314.29355,-6619.691422,1
229,11,45,1.228,0.971,1.1,11.8138,5.1391,79.904,371.15,266.05,371.15,-6518.84666,-7824.260711,1
230,37,74,0.897,2.7,1.3,10.4513,5.9858,126.904,312.79,386.65,933.4,-10001.63084,-10110.03016,1
231,3,18,1.023,1.74,0.57,12.9676,7.6462,18.998,453.85,53.63,923.15,-5350.647037,-7040.246791,1
232,19,18,0.757,0.862,0.97,12.9676,4.3407,18.998,336.5,53.63,336.5,-6296.270377,-7087.939121,1
233,19,18,1.228,0.971,0.97,12.9676,5.1391,35.453,336.5,172.31,371.15,-8711.538467,-10017.06697,1
234,19,74,1.228,0.971,1.1,10.4513,5.1391,35.453,336.5,53.63,371.15,-9362.816322,-10668.36007,1
235,11,45,1.023,1.74,1.1,11.8138,7.6462,79.904,371.15,266.05,923.15,-9899.854619,-11589.51334,1
236,55,74,1.023,1.74,1.3,10.4513,7.6462,79.904,301.7,266.05,923.15,-6125.679725,-7815.352131,1
237,19,18,1.228,0.971,0.97,12.9676,5.1391,35.453,371.15,172.31,371.15,-6331.743092,-7637.314421,1
238,55,18,0.897,2.7,1.3,12.9676,5.9858,126.904,301.7,386.65,933.4,-9797.945739,-9906.481228,1
239,37,74,1.023,1.74,1.3,10.4513,7.6462,126.904,312.79,386.65,923.15,-6620.778866,-8310.481465,1
240,55,74,0.897,2.7,1.3,10.4513,5.9858,79.904,301.7,266.05,933.4,-6125.679725,-6234.225211,1
241,19,18,1.228,0.971,0.97,12.9676,5.1391,35.453,336.5,172.31,371.15,-5330.191646,-6635.799551,1
242,37,18,1.228,0.971,0.97,12.9676,5.1391,35.453,312.79,172.31,371.15,-5617.54622,-6923.158074,1
243,3,18,0.757,0.862,0.97,12.9676,4.3407,35.453,453.85,172.31,336.5,-7533.576049,-8325.386787,1
244,3,74,1.228,0.971,1.3,10.4513,5.1391,126.904,453.85,386.65,371.15,-5642.303438,-6947.994435,1
245,19,10,1.228,0.971,0.57,17.4228,5.1391,18.998,336.5,53.63,371.15,-9661.038478,-10966.7589,1
246,37,18,1.228,0.971,0.97,12.9676,5.1391,35.453,312.79,172.31,371.15,-5128.741271,-6434.465635,1
247,3,10,1.023,1.74,0.57,17.4228,7.6462,18.998,453.85,53.63,923.15,-8480.280947,-10170.13787,1
248,37,18,1.228,0.971,0.97,12.9676,5.1391,35.453,312.79,172.31,371.15,-8509.822242,-9815.573563,1
249,55,18,1.228,0.971,0.97,12.9676,5.1391,35.453,301.7,172.31,371.15,-5298.103631,-6603.858528,1
250,55,74,1.023,1.74,1.3,10.4513,7.6462,126.904,301.7,386.65,923.15,-7279.26879,-8969.13887,1
251,19,18,1.228,0.971,0.97,12.9676,5.1391,35.453,336.5,172.31,371.15,-5819.009288,-7124.778701,1
252,37,45,1.228,0.971,1.1,11.8138,5.1391,79.904,336.5,266.05,371.15,-8773.559922,-10079.33207,1
253,3,45,1.228,0.971,1.1,11.8138,5.1391,79.904,453.85,266.05,371.15,-4313.218895,-5618.992769,1
254,37,45,0.757,0.862,0.57,11.8138,4.3407,18.998,312.79,53.63,336.5,-6373.053415,-7165.013386,1
255,11,18,1.228,0.971,0.97,12.9676,5.1391,35.453,371.15,172.31,371.15,-6844.478788,-8150.297915,1
256,55,74,0.897,2.7,1.3,10.4513,5.9858,126.904,301.7,386.65,933.4,-7279.26879,-7388.073908,1
257,19,45,1.228,0.971,1.1,11.8138,5.1391,79.904,336.5,266.05,371.15,-5493.301198,-6799.164641,1
258,37,45,1.228,0.971,1.1,11.8138,5.1391,79.904,312.79,266.05,371.15,-5291.778399,-6597.647314,1
259,37,74,1.023,1.74,1.3,10.4513,7.6462,126.904,312.79,386.65,923.15,-10001.63084,-11691.6157,1
260,55,18,1.228,0.971,0.97,12.9676,5.1391,35.453,301.7,172.31,371.15,-8679.194419,-9985.069308,1
261,19,18,0.647,1.54,0.97,12.9676,6.1132,18.998,336.5,53.63,1112.15,-6296.270377,-7300.340436,1
262,55,18,1.228,0.971,0.97,12.9676,5.1391,35.453,301.7,172.31,371.15,-5786.899021,-7092.810777,1
263,37,45,1.228,0.971,1.1,11.8138,5.1391,79.904,312.79,266.05,371.15,-5780.669715,-7086.59024,1
264,55,18,1.023,1.74,1.3,12.9676,7.6462,126.904,301.7,386.65,923.15,-9797.945739,-11487.98058,1
265,55,74,0.897,2.7,1.3,10.4513,5.9858,126.904,312.79,386.65,933.4,-10086.33636,-10195.28054,1
266,3,18,3.582,0.534,0.97,12.9676,5.3917,35.453,453.85,172.31,453.85,-4638.725673,-4840.606396,1
267,11,74,0.897,2.7,1.3,10.4513,5.9858,126.904,371.15,386.65,933.4,-11228.63344,-11337.6087,1
268,11,18,1.228,0.971,0.97,12.9676,5.1391,35.453,371.15,172.31,371.15,-9736.743457,-11042.77474,1
269,55,45,1.228,0.971,1.1,11.8138,5.1391,79.904,301.7,266.05,371.15,-5461.108635,-6767.153393,1
270,11,74,1.228,0.971,1.3,10.4513,5.1391,126.904,371.15,386.65,371.15,-7847.815822,-9153.864263,1
271,55,45,1.228,0.971,1.1,11.8138,5.1391,79.904,301.7,266.05,371.15,-5949.968748,-7256.03489,1
272,19,18,1.228,0.971,1.3,12.9676,5.1391,79.904,336.5,266.05,371.15,-5784.632888,-7090.709335,1
273,11,10,1.023,1.74,0.57,17.4228,7.6462,18.998,371.15,53.63,923.15,-7794.302965,-9484.500286,1
274,37,74,1.228,0.971,1.3,10.4513,5.1391,35.453,312.79,266.05,371.15,-5874.601158,-7180.716513,1
275,19,45,1.228,0.971,1.1,11.8138,5.1391,79.904,336.5,266.05,371.15,-8874.309696,-10180.42806,1
276,55,74,1.023,1.74,1.3,10.4513,7.6462,126.904,312.79,386.65,923.15,-10086.33636,-11776.60554,1
277,3,18,3.582,0.534,0.97,12.9676,5.3917,35.453,453.85,172.31,453.85,-7533.576049,-7735.60207,1
278,55,45,1.228,0.971,1.1,11.8138,5.1391,79.904,301.7,266.05,371.15,-8842.112292,-10148.28132,1
279,3,74,1.228,0.971,1.1,10.4513,5.1391,79.904,453.85,266.05,371.15,-8026.537709,-9332.709695,1
280,37,74,1.228,0.971,1.3,10.4513,5.1391,126.904,312.79,386.65,371.15,-7109.915657,-8416.088452,1
281,19,18,0.757,0.862,0.97,12.9676,4.3407,35.453,336.5,172.31,336.5,-5330.191646,-6122.549969,1
282,37,45,1.228,0.971,1.1,11.8138,5.1391,79.904,312.79,266.05,371.15,-8672.777297,-9978.983124,1
283,55,74,1.023,1.74,1.3,10.4513,7.6462,126.904,301.7,386.65,923.15,-6790.158099,-8480.494987,1
284,11,74,1.228,0.971,1.3,10.4513,5.1391,126.904,371.15,386.65,371.15,-11228.63344,-12534.90211,1
285,37,45,0.647,1.54,0.57,11.8138,6.1132,18.998,312.79,53.63,1112.15,-6373.053415,-7377.494087,1
286,19,18,0.757,0.862,0.97,12.9676,4.3407,35.453,336.5,172.31,336.5,-8711.538467,-9504.006396,1
287,3,45,1.228,0.971,1.1,11.8138,5.1391,79.904,453.85,266.05,371.15,-4802.114496,-6108.444117,1
288,37,10,1.228,0.971,0.57,17.4228,5.1391,18.998,312.79,53.63,371.15,-9459.697537,-10766.03719,1
289,11,18,0.647,1.54,0.97,12.9676,6.1132,35.453,371.15,172.31,1112.15,-6844.478788,-7848.984836,1
290,19,74,1.228,0.971,1.3,10.4513,5.1391,126.904,336.5,386.65,371.15,-7311.272416,-8617.622625,1
291,3,18,0.647,1.54,0.97,12.9676,6.1132,35.453,453.85,172.31,1112.15,-4638.725673,-5643.238651,1
292,55,74,0.897,2.7,1.3,10.4513,5.9858,126.904,301.7,386.65,933.4,-6790.158099,-6899.476701,1
293,3,74,0.647,1.54,1.1,10.4513,6.1132,79.904,453.85,266.05,1112.15,-8026.537709,-9031.080309,1
294,37,74,1.228,0.971,1.3,10.4513,5.1391,126.904,312.79,386.65,371.15,-6620.778866,-7927.168117,1
295,19,18,3.582,0.534,0.97,12.9676,5.3917,18.998,336.5,53.63,453.85,-6296.270377,-6498.548788,1
296,11,45,0.757,0.862,0.97,11.8138,4.3407,35.453,371.15,172.31,336.5,-6396.420853,-7189.006756,1
297,11,45,1.228,0.971,1.1,11.8138,5.1391,79.904,371.15,266.05,371.15,-9899.854619,-11206.2711,1
298,11,74,1.228,0.971,1.3,10.4513,5.1391,126.904,371.15,386.65,371.15,-8337.023484,-9643.44873,1
299,55,74,1.228,0.971,1.3,10.4513,5.1391,79.904,301.7,266.05,371.15,-6125.679725,-7432.10837,1
300,37,18,0.757,0.862,0.97,12.9676,4.3407,35.453,312.79,172.31,336.5,-5128.741271,-5921.361869,1
301,55,74,1.228,0.971,1.3,10.4513,5.1391,126.904,301.7,386.65,371.15,-7279.26879,-8585.721806,1
302,37,74,1.228,0.971,1.3,10.4513,5.1391,126.904,312.79,386.65,371.15,-10001.63084,-11308.08457,1
303,55,74,1.023,1.74,1.3,10.4513,7.6462,126.904,301.7,386.65,923.15,-10171.02572,-11861.59289,1
304,3,45,0.647,1.54,1.1,11.8138,6.1132,79.904,453.85,266.05,1112.15,-4802.114496,-5806.737848,1
305,55,18,0.757,0.862,0.97,12.9676,4.3407,35.453,336.5,172.31,336.5,-5314.29355,-6106.935942,1
306,37,74,0.757,0.862,0.57,10.4513,4.3407,18.998,312.79,53.63,336.5,-9596.362342,-10389.04089,1
307,19,18,0.757,0.862,0.97,12.9676,4.3407,35.453,336.5,172.31,336.5,-5819.009288,-6611.690674,1
308,19,74,0.757,0.862,1.1,10.4513,4.3407,35.453,336.5,53.63,336.5,-9362.816322,-10155.50099,1
309,55,74,0.897,2.7,1.3,10.4513,5.9858,126.904,301.7,386.65,933.4,-10171.02572,-10280.49447,1
310,55,10,1.228,0.971,0.57,17.4228,5.1391,18.998,301.7,53.63,371.15,-9629.213756,-10935.73728,1
311,19,18,0.647,1.54,0.97,12.9676,6.1132,35.453,371.15,172.31,1112.15,-6331.743092,-7336.428106,1
312,19,74,1.228,0.971,1.3,10.4513,5.1391,126.904,336.5,386.65,371.15,-10203.06356,-11509.62561,1
313,19,74,1.228,0.971,1.3,10.4513,5.1391,126.904,336.5,386.65,371.15,-6822.075172,-8128.653947,1
314,37,45,0.757,0.862,1.1,11.8138,4.3407,79.904,312.79,266.05,336.5,-5780.669715,-6573.421878,1
315,3,45,3.582,0.534,1.1,11.8138,5.3917,79.904,453.85,266.05,453.85,-4802.114496,-5004.575691,1
316,11,74,1.228,0.971,1.1,10.4513,5.1391,79.904,371.15,266.05,371.15,-10232.14793,-11538.74361,1
317,37,10,1.023,1.74,0.57,17.4228,7.6462,18.998,312.79,53.63,923.15,-6567.604186,-8258.310385,1
318,55,18,1.228,0.971,1.3,12.9676,5.1391,126.904,301.7,386.65,371.15,-9797.945739,-11104.55586,1
319,11,45,0.757,0.862,1.1,11.8138,4.3407,79.904,371.15,266.05,336.5,-7007.75117,-7800.548916,1
320,37,18,0.757,0.862,0.97,12.9676,4.3407,35.453,312.79,172.31,336.5,-8509.822242,-9302.623806,1
321,37,45,3.582,0.534,0.57,11.8138,5.3917,18.998,312.79,53.63,453.85,-6373.053415,-6575.557981,1
322,19,18,0.757,0.862,1.3,12.9676,4.3407,79.904,336.5,266.05,336.5,-5784.632888,-6577.460627,1
323,37,18,0.757,0.862,0.97,12.9676,4.3407,35.453,312.79,172.31,336.5,-5617.54622,-6410.376556,1
324,11,45,0.647,1.54,0.97,11.8138,6.1132,35.453,371.15,172.31,1112.15,-6396.420853,-7401.244842,1
325,19,45,0.757,0.862,1.1,11.8138,4.3407,79.904,336.5,266.05,336.5,-5982.225723,-6775.090466,1
326,3,74,1.228,0.971,1.3,10.4513,5.1391,126.904,453.85,386.65,371.15,-6131.508999,-7438.209109,1
327,55,74,1.228,0.971,1.3,10.4513,5.1391,126.904,312.79,386.65,371.15,-10086.33636,-11393.03672,1
328,55,18,0.757,0.862,0.97,12.9676,4.3407,35.453,301.7,172.31,336.5,-5298.103631,-6090.979947,1
329,37,10,1.023,1.74,0.57,17.4228,7.6462,18.998,312.79,53.63,923.15,-6078.786385,-7769.613414,1
330,55,74,1.228,0.971,1.3,10.4513,5.1391,126.904,301.7,386.65,371.15,-10171.02572,-11477.7618,1
331,19,45,0.757,0.862,1.1,11.8138,4.3407,79.904,336.5,266.05,336.5,-5493.301198,-6286.217941,1
332,3,10,1.023,1.74,0.57,17.4228,7.6462,18.998,453.85,53.63,923.15,-5587.936867,-7278.8457,1
333,55,74,0.824,0.0017,1.3,10.4513,17.4228,126.904,301.7,386.65,53.63,-10171.02572,-10830.40812,1
334,3,45,3.582,0.534,1.1,11.8138,5.3917,79.904,453.85,266.05,453.85,-7694.23077,-7896.908529,1
335,3,45,1.228,0.971,0.97,11.8138,5.1391,35.453,453.85,172.31,371.15,-4190.742257,-5497.554165,1
336,55,18,0.757,0.862,0.97,12.9676,4.3407,35.453,301.7,172.31,336.5,-8679.194419,-9472.183932,1
337,55,74,1.228,0.971,1.3,10.4513,5.1391,126.904,301.7,386.65,371.15,-6790.158099,-8096.97808,1
338,3,45,0.647,1.54,1.1,11.8138,6.1132,79.904,453.85,266.05,1112.15,-4313.218895,-5318.234153,1
339,19,45,3.582,0.534,1.1,11.8138,5.3917,79.904,453.85,266.05,453.85,-4903.262548,-5105.992066,1
340,11,45,3.582,0.534,1.1,11.8138,5.3917,79.904,371.15,266.05,453.85,-7007.75117,-7210.490046,1
341,55,18,0.757,0.862,0.97,12.9676,4.3407,35.453,301.7,172.31,336.5,-5786.899021,-6579.948684,1
342,19,45,0.757,0.862,1.1,11.8138,4.3407,79.904,336.5,266.05,336.5,-8874.309696,-9667.359894,1
343,37,45,0.757,0.862,1.1,11.8138,4.3407,79.904,312.79,266.05,336.5,-5291.778399,-6084.828907,1
344,11,45,0.757,0.862,1.1,11.8138,4.3407,79.904,371.15,266.05,336.5,-6518.84666,-7311.898521,1
345,11,18,0.757,0.862,0.97,12.9676,4.3407,35.453,371.15,172.31,336.5,-6355.65018,-7148.716133,1
346,37,45,0.757,0.862,1.1,11.8138,4.3407,79.904,336.5,266.05,336.5,-8773.559922,-9566.650754,1
347,19,18,3.582,0.534,0.97,12.9676,5.3917,35.453,336.5,172.31,453.85,-5330.191646,-5533.025084,1
348,37,74,0.757,0.862,1.3,10.4513,4.3407,35.453,312.79,266.05,336.5,-5874.601158,-6667.758394,1
349,11,45,0.647,1.54,1.1,11.8138,6.1132,79.904,371.15,266.05,1112.15,-7007.75117,-8012.895807,1
350,11,45,3.582,0.534,1.1,11.8138,5.3917,79.904,371.15,266.05,453.85,-6518.84666,-6721.73426,1
351,37,45,0.757,0.862,1.1,11.8138,4.3407,79.904,312.79,266.05,336.5,-8672.777297,-9465.970218,1
352,19,18,0.757,0.862,0.97,12.9676,4.3407,35.453,371.15,172.31,336.5,-6331.743092,-7124.944749,1
353,55,18,0.824,0.0017,1.3,12.9676,17.4228,126.904,301.7,386.65,53.63,-9797.945739,-10457.56431,1
354,19,45,3.582,0.534,1.1,11.8138,5.3917,79.904,336.5,266.05,453.85,-5982.225723,-6185.157142,1
355,55,45,0.757,0.862,1.1,11.8138,4.3407,79.904,301.7,266.05,336.5,-5949.968748,-6743.212004,1
356,3,74,3.582,0.534,1.3,10.4513,5.3917,126.904,453.85,386.65,453.85,-6131.508999,-6334.453773,1
357,11,10,0.647,1.54,0.57,17.4228,6.1132,18.998,371.15,53.63,1112.15,-7305.485436,-8310.728009,1
358,3,18,1.228,0.971,0.97,12.9676,5.1391,35.453,453.85,172.31,371.15,-4149.964295,-5457.048976,1
359,3,18,1.228,0.971,0.97,12.9676,5.1391,35.453,453.85,172.31,371.15,-4638.725673,-5945.816225,1
360,19,18,3.582,0.534,0.97,12.9676,5.3917,35.453,336.5,172.31,453.85,-8711.538467,-8914.496826,1
361,11,74,0.757,0.862,1.3,10.4513,4.3407,126.904,371.15,386.65,336.5,-8337.023484,-9130.288203,1
362,55,74,0.824,0.0017,1.3,10.4513,17.4228,126.904,301.7,386.65,53.63,-6790.158099,-7449.843491,1
363,3,45,1.228,0.971,1.1,11.8138,5.1391,79.904,453.85,266.05,371.15,-7694.23077,-9001.34388,1
364,55,74,0.824,0.0017,1.3,10.4513,17.4228,126.904,312.79,386.65,53.63,-10086.33636,-10746.03179,1
365,11,10,1.023,1.74,0.57,17.4228,7.6462,18.998,453.85,53.63,923.15,-6691.40951,-8382.657239,1
366,11,74,0.757,0.862,1.1,10.4513,4.3407,79.904,371.15,266.05,336.5,-10232.14793,-11025.47534,1
367,55,45,0.757,0.862,1.1,11.8138,4.3407,79.904,301.7,266.05,336.5,-5461.108635,-6254.455892,1
368,19,74,0.757,0.862,1.3,10.4513,4.3407,126.904,336.5,386.65,336.5,-7311.272416,-8104.625941,0
369,11,18,3.582,0.534,0.97,12.9676,5.3917,35.453,371.15,172.31,453.85,-9736.743457,-9939.802546,0
370,55,10,1.228,0.971,0.57,17.4228,5.1391,18.998,301.7,53.63,371.15,-6248.282588,-7555.489834,0
371,19,18,3.582,0.534,0.97,12.9676,5.3917,35.453,371.15,172.31,453.85,-6331.743092,-6534.828941,0
372,3,74,3.582,0.534,1.3,10.4513,5.3917,126.904,453.85,386.65,453.85,-5642.303438,-5845.394759,0
373,19,18,3.582,0.534,0.97,12.9676,5.3917,35.453,336.5,172.31,453.85,-5819.009288,-6022.122797,0
374,19,45,3.582,0.534,1.1,11.8138,5.3917,79.904,336.5,266.05,453.85,-5493.301198,-5696.422007,0
375,19,18,0.647,1.54,0.97,12.9676,6.1132,35.453,336.5,172.31,1112.15,-5819.009288,-6824.427568,0
376,37,74,0.824,0.0017,1.3,10.4513,17.4228,126.904,312.79,386.65,53.63,-10001.63084,-10661.46928,0
377,11,45,0.757,0.862,1.1,11.8138,4.3407,79.904,371.15,266.05,336.5,-9899.854619,-10693.29861,0
378,37,18,3.582,0.534,0.97,12.9676,5.3917,35.453,312.79,172.31,453.85,-5128.741271,-5331.895919,0
379,55,45,0.757,0.862,1.1,11.8138,4.3407,79.904,301.7,266.05,336.5,-8842.112292,-9635.575,0
380,55,18,3.582,0.534,0.97,12.9676,5.3917,35.453,336.5,172.31,453.85,-5314.29355,-5517.458997,0
381,37,74,0.757,0.862,1.3,10.4513,4.3407,126.904,312.79,386.65,336.5,-6620.778866,-7414.258845,0
382,19,10,1.228,0.971,0.57,17.4228,5.1391,18.998,336.5,53.63,371.15,-6280.142927,-7587.454538,0
383,37,10,1.228,0.971,0.57,17.4228,5.1391,18.998,312.79,53.63,371.15,-6078.786385,-7386.104113,0
384,11,18,0.757,0.862,0.97,12.9676,4.3407,35.453,371.15,172.31,336.5,-6844.478788,-7637.980045,0
385,19,18,3.582,0.534,1.3,12.9676,5.3917,79.904,336.5,266.05,453.85,-5784.632888,-5987.829279,0
386,37,74,0.757,0.862,1.3,10.4513,4.3407,126.904,312.79,386.65,336.5,-7109.915657,-7903.425593,0
387,19,18,0.647,1.54,0.97,12.9676,6.1132,35.453,336.5,172.31,1112.15,-5330.191646,-6335.701472,0
388,37,18,3.582,0.534,0.97,12.9676,5.3917,35.453,312.79,172.31,453.85,-5617.54622,-5820.788881,0
389,11,74,0.757,0.862,1.3,10.4513,4.3407,126.904,371.15,386.65,336.5,-7847.815822,-8641.371302,0
390,19,74,0.757,0.862,1.3,10.4513,4.3407,126.904,336.5,386.65,336.5,-6822.075172,-7615.632721,0
391,11,45,3.582,0.534,1.1,11.8138,5.3917,79.904,371.15,266.05,453.85,-9899.854619,-10103.11087,0
392,55,74,0.824,0.0017,1.3,10.4513,17.4228,126.904,301.7,386.65,53.63,-7279.26879,-7939.247624,0
393,19,74,0.757,0.862,1.3,10.4513,4.3407,126.904,336.5,386.65,336.5,-10203.06356,-10996.65761,0
394,37,74,3.582,0.534,0.57,10.4513,5.3917,18.998,312.79,53.63,453.85,-9596.362342,-9799.6605,0
395,19,45,3.582,0.534,1.1,11.8138,5.3917,79.904,336.5,266.05,453.85,-8874.309696,-9077.608862,0
396,11,74,0.757,0.862,1.3,10.4513,4.3407,126.904,371.15,386.65,336.5,-11228.63344,-12022.24371,0
397,55,74,0.757,0.862,1.3,10.4513,4.3407,126.904,301.7,386.65,336.5,-7279.26879,-8072.879262,0
398,3,74,0.757,0.862,1.3,10.4513,4.3407,126.904,453.85,386.65,336.5,-6131.508999,-6925.12544,0
399,55,74,0.757,0.862,1.3,10.4513,4.3407,79.904,301.7,266.05,336.5,-6125.679725,-6919.300468,0
400,11,45,0.647,1.54,1.1,11.8138,6.1132,79.904,371.15,266.05,1112.15,-6518.84666,-7524.456273,0
401,37,45,3.582,0.534,1.1,11.8138,5.3917,79.904,312.79,266.05,453.85,-5780.669715,-5983.994119,0
402,37,45,3.582,0.534,1.1,11.8138,5.3917,79.904,312.79,266.05,453.85,-5291.778399,-5495.109449,0
403,3,74,1.228,0.971,1.3,10.4513,5.1391,126.904,453.85,386.65,371.15,-9023.120631,-10330.59051,0
404,11,18,0.757,0.862,0.97,12.9676,4.3407,35.453,371.15,172.31,336.5,-9736.743457,-10530.39093,0
405,37,74,0.757,0.862,1.3,10.4513,4.3407,126.904,312.79,386.65,336.5,-10001.63084,-10795.29792,0
406,3,74,3.582,0.534,1.3,10.4513,5.3917,126.904,453.85,386.65,453.85,-9023.120631,-9226.48552,0
407,55,45,0.824,0.0017,1.1,11.8138,17.4228,79.904,301.7,266.05,53.63,-8842.112292,-9502.192275,0
408,3,45,3.582,0.534,1.1,11.8138,5.3917,79.904,453.85,266.05,453.85,-4313.218895,-4516.59033,0
409,37,74,0.824,0.0017,1.3,10.4513,17.4228,126.904,312.79,386.65,53.63,-6620.778866,-7280.861905,0
410,19,45,0.647,1.54,1.1,11.8138,6.1132,79.904,336.5,266.05,1112.15,-5982.225723,-6987.889319,0
411,11,18,0.647,1.54,0.97,12.9676,6.1132,35.453,371.15,172.31,1112.15,-6355.65018,-7361.323174,0
412,37,45,3.582,0.534,1.1,11.8138,5.3917,79.904,336.5,266.05,453.85,-8773.559922,-8976.945438,0
413,19,45,0.757,0.862,1.1,11.8138,4.3407,79.904,453.85,266.05,336.5,-4903.262548,-5696.954054,0
414,11,74,3.582,0.534,1.3,10.4513,5.3917,126.904,371.15,386.65,453.85,-8337.023484,-8540.411113,0
415,55,74,0.824,0.0017,1.3,10.4513,17.4228,79.904,301.7,266.05,53.63,-6125.679725,-6785.786,0
416,19,18,0.647,1.54,0.97,12.9676,6.1132,35.453,336.5,172.31,1112.15,-8711.538467,-9717.232181,0
417,37,18,3.582,0.534,0.97,12.9676,5.3917,35.453,312.79,172.31,453.85,-8509.822242,-8713.233164,0
418,55,74,0.757,0.862,1.3,10.4513,4.3407,126.904,301.7,386.65,336.5,-6790.158099,-7583.893705,0
419,55,10,1.023,1.74,0.57,17.4228,7.6462,18.998,301.7,53.63,923.15,-6737.099574,-8428.774771,0
420,55,18,3.582,0.534,0.97,12.9676,5.3917,35.453,301.7,172.31,453.85,-5298.103631,-5501.547492,0
421,3,45,0.757,0.862,1.1,11.8138,4.3407,79.904,453.85,266.05,336.5,-7694.23077,-8487.980714,0
422,55,10,0.757,0.862,0.57,17.4228,4.3407,18.998,301.7,53.63,336.5,-9629.213756,-10422.97322,0
423,19,10,1.023,1.74,0.57,17.4228,7.6462,18.998,336.5,53.63,923.15,-6768.966846,-8460.680126,0
424,37,45,3.582,0.534,1.1,11.8138,5.3917,79.904,312.79,266.05,453.85,-8672.777297,-8876.247754,0
425,11,74,3.582,0.534,1.1,10.4513,5.3917,79.904,371.15,266.05,453.85,-10232.14793,-10435.62144,0
426,11,18,3.582,0.534,0.97,12.9676,5.3917,35.453,371.15,172.31,453.85,-6844.478788,-7047.953982,0
427,55,18,3.582,0.534,0.97,12.9676,5.3917,35.453,301.7,172.31,453.85,-8679.194419,-8882.674113,0
428,37,10,0.757,0.862,0.57,17.4228,4.3407,18.998,312.79,53.63,336.5,-9459.697537,-10253.48306,0
429,19,74,3.582,0.534,1.1,10.4513,5.3917,35.453,336.5,53.63,453.85,-9362.816322,-9566.308635,0
430,3,18,0.647,1.54,0.97,12.9676,6.1132,35.453,453.85,172.31,1112.15,-4149.964295,-5155.756431,0
431,55,74,0.757,0.862,1.3,10.4513,4.3407,126.904,312.79,386.65,336.5,-10086.33636,-10880.14212,0
432,55,18,3.582,0.534,0.97,12.9676,5.3917,35.453,301.7,172.31,453.85,-5786.899021,-5990.416042,0
433,37,18,0.647,1.54,0.97,12.9676,6.1132,35.453,312.79,172.31,1112.15,-5617.54622,-6623.355641,0
434,3,45,0.647,1.54,1.1,11.8138,6.1132,79.904,453.85,266.05,1112.15,-7694.23077,-8700.051778,0
435,11,18,0.647,1.54,0.97,12.9676,6.1132,35.453,371.15,172.31,1112.15,-9736.743457,-10742.565,0
436,55,45,3.582,0.534,1.1,11.8138,5.3917,79.904,301.7,266.05,453.85,-5949.968748,-6153.508036,0
437,19,10,1.228,0.971,0.57,17.4228,5.1391,18.998,336.5,53.63,371.15,-6768.966846,-8076.643115,0
438,3,74,0.647,1.54,1.3,10.4513,6.1132,126.904,453.85,386.65,1112.15,-6131.508999,-7137.350856,0
439,3,74,0.757,0.862,1.3,10.4513,4.3407,126.904,453.85,386.65,336.5,-5642.303438,-6436.165303,0
440,55,45,0.824,0.0017,1.1,11.8138,17.4228,79.904,301.7,266.05,53.63,-5461.108635,-6121.395633,0
441,19,74,0.824,0.0017,1.3,10.4513,17.4228,126.904,336.5,386.65,53.63,-10203.06356,-10863.35937,0
442,55,18,0.757,0.862,1.3,12.9676,4.3407,126.904,301.7,386.65,336.5,-9797.945739,-10591.84172,0
443,11,18,3.582,0.534,0.97,12.9676,5.3917,35.453,371.15,172.31,453.85,-6355.65018,-6559.25652,0
444,55,10,1.228,0.971,0.57,17.4228,5.1391,18.998,301.7,53.63,371.15,-6737.099574,-8044.846095,0
445,37,10,1.228,0.971,0.57,17.4228,5.1391,18.998,312.79,53.63,371.15,-6567.604186,-7875.353385,0
446,19,74,3.582,0.534,1.3,10.4513,5.3917,126.904,336.5,386.65,453.85,-7311.272416,-7514.890359,0
447,3,18,3.582,0.534,0.97,12.9676,5.3917,35.453,453.85,172.31,453.85,-4149.964295,-4353.582823,0
448,37,74,3.582,0.534,1.3,10.4513,5.3917,35.453,312.79,266.05,453.85,-5874.601158,-6078.223768,0
449,19,10,0.757,0.862,0.57,17.4228,4.3407,18.998,336.5,53.63,336.5,-9661.038478,-10454.97452,0
450,55,45,3.582,0.534,1.1,11.8138,5.3917,79.904,301.7,266.05,453.85,-8842.112292,-9045.746155,0
